pat,n,tau,fmi,emi,jmi
3,256,0,0.00269077390450619 0.00250429857624124 1.34866895186995e-05,-0.0147838507424618 0.0136497215463272 0.000404131881474489,0.0145587021512983 0.027292657848876 0.000953865424096207
3,256,0.1,0.0172187416501608 0.0208378849632597 0.000721374724803926,0.00200311367159121 0.0275904596376046 0.000761361410471103,0.0383925580205181 0.0347522327686824 0.00157895811825821
3,256,0.2,0.104772891440278 0.0292182655126862 0.00106914210450271,0.057206423924853 0.0634576603348454 0.00508482956990815,0.108999740460416 0.0476285691729044 0.00362838747319047
3,256,0.3,0.221129097612866 0.0437464615310282 0.00204154430336036,0.145361855024937 0.044700673579194 0.00610269877820045,0.209858768834042 0.0604670320202665 0.00643568635614527
3,256,0.4,0.339781844694894 0.0561136377519022 0.00315745694303811,0.270383555193288 0.057836712250884 0.00752839234492889,0.345782808700351 0.0770707679442453 0.0109263496659401
3,256,0.5,0.481869771738847 0.0569444829904123 0.00323005417632612,0.432592224495395 0.0578862297895123 0.00582440647013197,0.522767314533371 0.0826445965907532 0.0150415142158657
3,256,0.6,0.672941154732695 0.0709094065638863 0.00501160458429152,0.637890296486262 0.0777175293675017 0.00738050322648941,0.737383631210622 0.0909827640776376 0.0185233925832217
3,256,0.7,0.954062854145522 0.0674047065779505 0.00453723344917126,0.907534086240672 0.0806662371427157 0.00833542305466431,1.02917599706273 0.099879868715524 0.0239016505037023
3,256,0.8,1.36556640899814 0.0779872366600775 0.00614932006177942,1.2984271730282 0.0855324321643898 0.0106004252090893,1.45278533260637 0.124610697421419 0.0364285071461426
3,256,0.9,2.04913776784658 0.0751761870740621 0.00848807508805623,1.94456518401307 0.0799057016163098 0.00904348098600856,2.17237496656154 0.0533867695494635 0.031526625872
