sampsize,rho,name,value,family,type
256,0,pow.strong.fmi,0.03,Strong,fmi
256,0,pow.strong.jmi,0.06,Strong,jmi
256,0,pow.strong.emi,0.07,Strong,emi
256,0.1,pow.ex.fmi,0.46,Ex,fmi
256,0.1,pow.ex.jmi,0.08,Ex,jmi
256,0.1,pow.ex.emi,0.26,Ex,emi
256,0.1,pow.ar1.fmi,0.1,Ar1,fmi
256,0.1,pow.ar1.jmi,0.06,Ar1,jmi
256,0.1,pow.ar1.emi,0.08,Ar1,emi
256,0.1,pow.spatial.fmi,0.78,Spatial,fmi
256,0.1,pow.spatial.jmi,0.59,Spatial,jmi
256,0.1,pow.spatial.emi,0.55,Spatial,emi
256,0.1,pow.mild.fmi,0.34,Mild,fmi
256,0.1,pow.mild.jmi,0.06,Mild,jmi
256,0.1,pow.mild.emi,0.19,Mild,emi
256,0.1,pow.strong.fmi,0.2,Strong,fmi
256,0.1,pow.strong.jmi,0.07,Strong,jmi
256,0.1,pow.strong.emi,0.1,Strong,emi
256,0.2,pow.ex.fmi,0.93,Ex,fmi
256,0.2,pow.ex.jmi,0.5,Ex,jmi
256,0.2,pow.ex.emi,0.77,Ex,emi
256,0.2,pow.ar1.fmi,0.15,Ar1,fmi
256,0.2,pow.ar1.jmi,0.17,Ar1,jmi
256,0.2,pow.ar1.emi,0.09,Ar1,emi
256,0.2,pow.spatial.fmi,1,Spatial,fmi
256,0.2,pow.spatial.jmi,1,Spatial,jmi
256,0.2,pow.spatial.emi,1,Spatial,emi
256,0.2,pow.mild.fmi,0.88,Mild,fmi
256,0.2,pow.mild.jmi,0.37,Mild,jmi
256,0.2,pow.mild.emi,0.65,Mild,emi
256,0.2,pow.strong.fmi,0.69,Strong,fmi
256,0.2,pow.strong.jmi,0.21,Strong,jmi
256,0.2,pow.strong.emi,0.44,Strong,emi
256,0.3,pow.ex.fmi,1,Ex,fmi
256,0.3,pow.ex.jmi,0.88,Ex,jmi
256,0.3,pow.ex.emi,0.97,Ex,emi
256,0.3,pow.ar1.fmi,0.47,Ar1,fmi
256,0.3,pow.ar1.jmi,0.39,Ar1,jmi
256,0.3,pow.ar1.emi,0.32,Ar1,emi
256,0.3,pow.spatial.fmi,1,Spatial,fmi
256,0.3,pow.spatial.jmi,1,Spatial,jmi
256,0.3,pow.spatial.emi,1,Spatial,emi
256,0.3,pow.mild.fmi,1,Mild,fmi
256,0.3,pow.mild.jmi,0.84,Mild,jmi
256,0.3,pow.mild.emi,0.99,Mild,emi
256,0.3,pow.strong.fmi,0.97,Strong,fmi
256,0.3,pow.strong.jmi,0.52,Strong,jmi
256,0.3,pow.strong.emi,0.93,Strong,emi
256,0.4,pow.ex.fmi,1,Ex,fmi
256,0.4,pow.ex.jmi,0.99,Ex,jmi
256,0.4,pow.ex.emi,1,Ex,emi
256,0.4,pow.ar1.fmi,0.81,Ar1,fmi
256,0.4,pow.ar1.jmi,0.66,Ar1,jmi
256,0.4,pow.ar1.emi,0.58,Ar1,emi
256,0.4,pow.spatial.fmi,1,Spatial,fmi
256,0.4,pow.spatial.jmi,1,Spatial,jmi
256,0.4,pow.spatial.emi,1,Spatial,emi
256,0.4,pow.mild.fmi,1,Mild,fmi
256,0.4,pow.mild.jmi,1,Mild,jmi
256,0.4,pow.mild.emi,1,Mild,emi
256,0.4,pow.strong.fmi,1,Strong,fmi
256,0.4,pow.strong.jmi,0.93,Strong,jmi
256,0.4,pow.strong.emi,1,Strong,emi
256,0.5,pow.ex.fmi,1,Ex,fmi
256,0.5,pow.ex.jmi,1,Ex,jmi
256,0.5,pow.ex.emi,1,Ex,emi
256,0.5,pow.ar1.fmi,0.99,Ar1,fmi
256,0.5,pow.ar1.jmi,0.91,Ar1,jmi
256,0.5,pow.ar1.emi,0.9,Ar1,emi
256,0.5,pow.spatial.fmi,1,Spatial,fmi
256,0.5,pow.spatial.jmi,1,Spatial,jmi
256,0.5,pow.spatial.emi,1,Spatial,emi
256,0.5,pow.mild.fmi,1,Mild,fmi
256,0.5,pow.mild.jmi,1,Mild,jmi
256,0.5,pow.mild.emi,1,Mild,emi
256,0.5,pow.strong.fmi,1,Strong,fmi
256,0.5,pow.strong.jmi,1,Strong,jmi
256,0.5,pow.strong.emi,1,Strong,emi
