pat,n,rho,fmi,emi,jmi
3,128,0.7,0.565245280266446 0.086433255029235 0.018549745878816,0.590782568168375 0.091932355657771 0.0255603687065215,1.09628239665955 0.174693864921104 0.190594432747536
3,128,0.8,0.620434169075818 0.0893368690957689 0.0188326691565259,0.650098208185226 0.095876892932575 0.0271063119682184,1.16817714105577 0.172536653968684 0.200965758929618
3,128,0.9,0.665294251217604 0.0979458933633516 0.0202512508290892,0.703236108969078 0.101260454108473 0.030190842594941,1.2111214268665 0.174150889844651 0.19393307363272
3,256,0,0.0395082741716095 0.0192008133260631 0.000430759679766312,-0.00792627212810376 0.0264844587999361 0.00226092743282873,0.0434357108309471 0.0743403376594598 0.00740209380710549
3,256,0.1,0.0535521386152346 0.027407757796354 0.00142336255266364,0.0263543456785086 0.0325358476935474 0.00289822625055254,0.21869728307811 0.114273779912041 0.0343456216810136
3,256,0.2,0.149462758241469 0.0411185879897002 0.00859655352796636,0.142204700234148 0.0471275881341292 0.00927949426473495,0.497774574800109 0.127274660024378 0.0882248655061141
3,256,0.3,0.251091401493393 0.0473523378820934 0.0136503475931559,0.253344299281908 0.052083225068591 0.0146062535963359,0.678006281341152 0.126229217019139 0.116919297073838
3,256,0.4,0.333728782157118 0.0537729538839211 0.0170503652227208,0.347360865273376 0.0583211038010913 0.020989850034469,0.807576484985516 0.126988443680616 0.132511539444736
3,256,0.5,0.411850869332138 0.0517017687778313 0.017812903467391,0.431750724345334 0.0611760932228572 0.0241741911250764,0.929160712695932 0.13178930032486 0.157467298028983
3,256,0.6,0.485424854547364 0.0606997108023004 0.0207990355470852,0.49947593477493 0.080860698524374 0.0275219501601259,1.00542743560964 0.13617985006553 0.159208346674512
3,256,0.7,0.562522910628727 0.063032185969888 0.0201915182020182,0.568727612641868 0.0835117313781626 0.0248059131309834,1.08452218700425 0.13117416699852 0.168035863413504
3,256,0.8,0.628086799141443 0.0618742649430814 0.0206899682322123,0.624464288670191 0.0823344905590908 0.0227067393138621,1.15670433233595 0.133647638931995 0.179718376893673
3,256,0.9,0.682708063667368 0.061492777465792 0.0202016927861584,0.678394524819997 0.084448359223449 0.02245801861463,1.21089748988198 0.130571326996644 0.180498832199699
3,512,0,0.0379127624263587 0.0130373588774485 0.000543060726618467,-0.019324283830768 0.0207474014459104 0.00186697131222176,0.0226298372169687 0.0447917518094987 0.0025143979605699
3,512,0.1,0.0561128933668367 0.01946794655113 0.000877303599402614,0.0178840305702836 0.0245592045803104 0.00338377119695795,0.2131324883371 0.0804688299678124 0.0261816760350126
3,512,0.2,0.149298740691353 0.0279620006862615 0.00745627684875247,0.127520865994853 0.0324371169123452 0.0111469514983805,0.477162770032897 0.088667798387162 0.0692635829501755
3,512,0.3,0.248528862272923 0.0313379914416644 0.0137508724730511,0.234994252037425 0.035899999262447 0.0166500786442347,0.65914846795177 0.0922624729857526 0.0978810626620089
3,512,0.4,0.341308053831936 0.0350921389026853 0.0175127035530393,0.330349304032178 0.0432948620484542 0.019732274936863,0.798028804515025 0.0977574008229658 0.119530936168195
3,512,0.5,0.414922318720792 0.0401786480540074 0.0215703453916878,0.411370151991683 0.0447658460006496 0.0221879400555349,0.890293241875658 0.0962546528470297 0.121791095568145
3,512,0.6,0.486273949131254 0.0367432102354516 0.0226970620175905,0.481809999994206 0.0441558257622687 0.0234046039763687,0.991728022169017 0.113047473041665 0.143365013329564
3,512,0.7,0.544248902503835 0.041233382319511 0.0232403678754224,0.549333228631199 0.0449021512793603 0.0250741249418296,1.07833642871709 0.0935414353652989 0.15482913714347
3,512,0.8,0.600149782207732 0.0417596303039686 0.0237119261633826,0.606117750470836 0.0482116493295671 0.0260961185125885,1.1317710130623 0.092610987359797 0.15100945192526
3,512,0.9,0.64455286068927 0.0442586445913366 0.0255102769164806,0.65308829239873 0.0517906203729036 0.0289251191390315,1.18209923164654 0.114575274927854 0.154126544042941
4,128,0,0.030184930047584 0.0287116377213681 0.000826788570408856,0.00142102734965386 0.0287475580853772 0.00173383942633934,0.0685257429426854 0.123427504869384 0.0198996577062123
4,128,0.1,0.0431954587028768 0.0349125716081854 0.0013068211742824,0.0214830022255643 0.0382610240123135 0.00243559400458909,0.103908185025074 0.134160976167132 0.0264145817450255
4,128,0.2,0.0846309952070401 0.0465346860074838 0.00244466069813273,0.0665682900516316 0.0578235219467949 0.00455492434254108,0.198058046930028 0.161964100829757 0.0481809970210609
4,128,0.3,0.15926639790142 0.0576324920179459 0.00418594073250368,0.149288851095699 0.0685668498238453 0.00625159689896979,0.348491419158547 0.162580479843975 0.0786908425223899
4,128,0.4,0.268240452909706 0.0696108499715133 0.00581971812826108,0.269333796765421 0.0839702446189302 0.00795324979671492,0.557345877747365 0.170888012143393 0.131145780810938
4,128,0.5,0.457752849779366 0.0913330082445939 0.00861426588508414,0.46490289577334 0.107325889390551 0.0115929642548399,0.883190858649708 0.171552594907593 0.218852954647025
4,256,0,0.0221571294985407 0.0191033934257788 0.000570714372502968,-0.0143702683135577 0.0201727318232409 0.000897063618609075,0.0338715286425425 0.0597103588124529 0.00470547674819542
4,256,0.1,0.0369508024648253 0.0223421797705078 0.000527404496448592,0.00657015719918217 0.0296540249926387 0.00150131224011798,0.0713854259019605 0.0864213731941856 0.0109831225952309
4,256,0.2,0.0799039536046412 0.0304620644410642 0.000926091649419339,0.0496296289737546 0.0399384697433538 0.00250233473504571,0.172183644376983 0.0955829668994355 0.0241126292048195
4,256,0.3,0.155788264323598 0.0380168638797833 0.00148927655466911,0.126622068669621 0.0475390803132261 0.00355241432023192,0.31494878588778 0.107082023276515 0.0495365139524541
4,256,0.4,0.275748485404556 0.0467907287894442 0.00222810986479757,0.244535483377364 0.0604554973568951 0.00507483316315974,0.532902927464188 0.118808296832031 0.101073094561084
4,256,0.5,0.469498441642418 0.0553877982500036 0.00308841132784254,0.442725152712012 0.07637375484907 0.00628794547026037,0.858591815706189 0.131615380112614 0.185958929724275
4,512,0,0.0172787218953451 0.0116642690809478 0.000492202792775259,-0.0243315313144306 0.0139297033604453 0.000727806478951486,0.0198789036107756 0.0380812900383396 0.00184245509044868
4,512,0.1,0.0347129101707589 0.0154254289578819 0.00053575694283047,-0.00529442381192274 0.0208075230214922 0.000949025975742598,0.054062857539736 0.0490889150649892 0.00417615348631141
4,512,0.2,0.0778947066020253 0.0205832559760586 0.000559067296651524,0.0380580272145927 0.0280237563755333 0.00157698860813045,0.150502907139608 0.0641919061043483 0.0142674584548271
4,512,0.3,0.158438149058069 0.0265688729971294 0.00076761227996131,0.111830041771889 0.0375672834888933 0.00290333326171504,0.298787793125772 0.0796715389821231 0.0383805131040167
4,512,0.4,0.281911713815801 0.0341713382010092 0.00120109650545481,0.231989925596522 0.0466509740060232 0.00410290681770173,0.506815654887918 0.0882619746615292 0.0800530215972687
4,512,0.5,0.474731261846458 0.0398320466573881 0.00239329912368361,0.419437708042741 0.0547327684093367 0.00370981022010531,0.836516037212716 0.0946614930285665 0.159968328252271
5,128,0,0.0221424430250296 0.0213027430539995 0.000894231102023753,-0.00310260802514196 0.0297720956740995 0.000943187031018157,0.0575274531267675 0.103601657049803 0.0140212446000305
5,128,0.1,0.0249878970098306 0.0244798639519805 0.000890944573408237,0.00811420721499613 0.0326323951923793 0.00106280108335131,0.0779161281778646 0.115069058151167 0.0181202810844171
5,128,0.2,0.0448697127731139 0.0400793179944736 0.00166425305346335,0.0400868066046606 0.0427687690214187 0.00198428066415381,0.146688534242613 0.129457248319743 0.0298174309722807
5,128,0.3,0.0842475633396752 0.0495350537355439 0.00260980738844445,0.0884632619127696 0.0529472641408553 0.00286959114711264,0.237516029914471 0.144375799409293 0.04696285994697
5,128,0.4,0.157652510931389 0.0617040907427235 0.00449876889089088,0.1702794337971 0.069817735616839 0.00505552400779014,0.390681532344925 0.162400398669 0.0872513722331655
5,128,0.5,0.26046825777154 0.0733767317440962 0.00635976109447671,0.279067479392822 0.0822862663842286 0.00692152063543129,0.554688967443309 0.164360890619434 0.121226818939053
5,256,0,0.0133979197513534 0.0128395840561673 0.00034402946256162,-0.019352907279654 0.0177859153052872 0.000690241125855243,0.0355175617046188 0.0673590373223672 0.00578966261861946
5,256,0.1,0.0177669223083721 0.0165840265125531 0.000372346255871601,-0.00650204596941582 0.0198288601678435 0.000599073157701768,0.0532462147172246 0.0727766731235052 0.00734447293456641
5,256,0.2,0.0379469134214267 0.0251705477282978 0.000737915080261803,0.021991823132091 0.0271485856116798 0.000767807351228381,0.112839776006547 0.0784059916167687 0.0126268124802725
5,256,0.3,0.0880652371862225 0.0322008822716617 0.00103554226086658,0.0749268715722688 0.037585614678455 0.00156090425603284,0.208609481460779 0.09082840473489 0.0258783125056486
5,256,0.4,0.160820214845224 0.0430067450003854 0.00195930276939419,0.154491004023826 0.0496815278663657 0.00275161020930144,0.350733301575031 0.111759711953353 0.0552696622107638
5,256,0.5,0.263346150721073 0.0486468687618284 0.00259837265748828,0.263042131191184 0.0522641029175332 0.00297210616122078,0.528285648863727 0.115072891450479 0.0919656382831758
5,512,0,0.00953287687649099 0.00913016934878156 0.000174069013895092,-0.0292644130773316 0.0112242770162735 0.000982138298509664,0.0192818468176331 0.0388924559114878 0.00188138749727204
5,512,0.1,0.0131259541270946 0.011121683145189 0.000151025599714689,-0.0166666905991236 0.0129096192606344 0.000768579208274059,0.0407209195392909 0.0384514852663593 0.00255446808369943
5,512,0.2,0.0389695320045713 0.0176285508077127 0.000441787046154584,0.0116391183406651 0.0199421359541602 0.000735747040325433,0.101319147073119 0.0562903082360942 0.00793014842997312
5,512,0.3,0.0842073461842778 0.0224748478914098 0.00075079759027676,0.0600686114857232 0.0268358343434946 0.000789827002102471,0.184794017943522 0.0619783697899131 0.0157187930646167
5,512,0.4,0.154408397462483 0.0278011814834818 0.000865539685523808,0.134136408204679 0.0314165359286473 0.00109669385580112,0.314751725750211 0.0744238682372138 0.0347382981327422
5,512,0.5,0.261784378083399 0.0349424906304122 0.00123420270659059,0.243702561160205 0.0406148890342093 0.00184574782961754,0.489117590627094 0.0880306946284399 0.0660353254322305
