pat,n,tau,m_fmi,m_jmi,m_emi,mse_fmi,mse_jmi,mse_emi
1,64,0,0.008749105183579114,0.058198241226563176,0.04015066843108949,1.5939046802360593e-4,0.010876851476933805,0.0034091093418068064
1,64,0.1,0.011888024657558843,0.06271098006021283,0.04789581919527667,1.624403774583984e-4,0.008932462548383866,0.0030849197317439963
1,64,0.2,0.03334989006376812,0.1339398262019303,0.09712025852639654,0.001365670230283457,0.020954841443551975,0.006456510287470644
1,64,0.3,0.07909052416556288,0.22126487649657564,0.173086427409735,0.003959438160399895,0.029653810994591072,0.010062478573517077
1,64,0.4,0.1588781200261692,0.3251190946795715,0.27215336653804273,0.008798112904501025,0.03070341160280637,0.01115848144795767
1,64,0.5,0.29536885042218924,0.5154511070417206,0.421431804610752,0.013357454142768847,0.060550274150784796,0.01726698699361182
1,64,0.6,0.4857575710836611,0.7173097383031674,0.6268246365775583,0.01401982246636363,0.06054328233693516,0.02258323287361735
1,64,0.7,0.7357964410533752,1.0282556538770933,0.8914488525984995,0.02136695319306695,0.08962054857425084,0.027535642953203387
1,64,0.8,1.0897946300827988,1.461420308410138,1.269751191960861,0.027882820730764292,0.12892638775613963,0.028040285691010122
1,64,0.9,1.7182773333517865,2.1914414373196665,1.9129280248826992,0.027942833900495612,0.17005733179027055,0.04472756198960901
1,128,0,0.0051577404145027985,0.02661999691470476,0.005838924927383417,1.2738073596730808e-4,0.003091339617030214,5.556209939596255e-4
1,128,0.1,0.010274960407674111,0.04386029645291735,0.014945086755879753,1.0961594705020699e-4,0.004012435453529001,7.024743161881908e-4
1,128,0.2,0.04050795706214558,0.09902979541185136,0.061439204957468414,0.0010061057808415205,0.007936847708829338,0.0018890064388509906
1,128,0.3,0.09878337762294052,0.17912974159535966,0.13160760681080066,0.0032789221781212253,0.010914963861810638,0.003392319564691304
1,128,0.4,0.21073098803911688,0.30179918256874133,0.2474743475467588,0.0047521686808728435,0.01592775358238765,0.005867005823976418
1,128,0.5,0.34417901467010403,0.465534092005246,0.3973661983986564,0.0055856902175410676,0.024480059118765933,0.00869626694347642
1,128,0.6,0.5210333814760328,0.6752776293788941,0.5929844608682339,0.009862554786676818,0.0337315232345784,0.011551408889078912
1,128,0.7,0.7946056963473783,0.9680889004221542,0.8611210522417655,0.0090843482234656,0.0479986526276076,0.013277306523510763
1,128,0.8,1.1730370994353119,1.4011959543377728,1.252606014093997,0.0108971755959239,0.0740655232910242,0.015733090176782143
1,128,0.9,1.8106699124148664,2.149286074548489,1.903050627554873,0.012248442123920273,0.1066782710350625,0.014109767220103951
1,256,0,0.0026192774277858984,0.013858816248109366,-0.014288446029563223,1.1370195328144057e-5,7.292347632335431e-4,3.624384825869243e-4
1,256,0.1,0.010844113152330392,0.034194255097813875,-5.516762889508173e-4,3.1332461368857443e-4,0.0016241823746577812,4.340102481124067e-4
1,256,0.2,0.08463925200973528,0.08337771413815417,0.04273863081568872,8.021825893201125e-4,0.0029291236731479775,0.004685284986701023
1,256,0.3,0.19999769910362447,0.1676524718692877,0.12036374640402053,0.0015285146504343235,0.005514725597128995,0.008771042217592343
1,256,0.4,0.29331499604041045,0.2795858742811811,0.22712688694530986,0.002394643555131031,0.008156028676962255,0.008242382811813182
1,256,0.5,0.41050417858643806,0.4345196618371219,0.3735965537655921,0.0037455973394885296,0.013275367628049869,0.006897617862691589
1,256,0.6,0.5802861858641561,0.6323611155195372,0.5684950121842796,0.005060550601285329,0.015907498005878165,0.006106263218605287
1,256,0.7,0.8439695958362777,0.9249605559102518,0.8410660958850199,0.006597242911094179,0.02590845913968412,0.007521634920695197
1,256,0.8,1.2351828229822568,1.3409877555560024,1.2361262563277742,0.008254210778135686,0.041637920249252114,0.00957616005136595
1,256,0.9,1.8891931116426868,2.109525123278776,1.89770065317641,0.007063528490801681,0.07262412135899345,0.00849656931174767
2,64,0,0.00800234902258863,0.05783883486127927,0.03609478343348609,1.2382503335149758e-4,0.012294081947391716,0.002887915899513088
2,64,0.1,0.011604751876176234,0.07833509206755254,0.05196836857173392,1.6697839102988902e-4,0.013877106893099093,0.0032257239275479176
2,64,0.2,0.03465060776410232,0.13695821449867657,0.10014964177543334,0.0017788839847508002,0.01939099520181478,0.005183781562827243
2,64,0.3,0.07590784634465106,0.22212479995869122,0.17300689776551537,0.007055202555122008,0.02432445962379172,0.007360922120332982
2,64,0.4,0.172618806339577,0.36776935672767974,0.2897783686209,0.013717234252257331,0.039644014832148924,0.014359705375818474
2,64,0.5,0.31643676513334773,0.5263074394944568,0.44444865920881654,0.01938788847129592,0.05041440683849937,0.020092462302570474
2,64,0.6,0.47379123020386993,0.7126622765215711,0.6132429334974449,0.02161842454690221,0.05439429439969356,0.026095986518194444
2,64,0.7,0.7358267111179614,1.0408887321465718,0.8865595643758442,0.023555059839840384,0.08819298264358817,0.029012926973499165
2,64,0.8,1.1063756876687376,1.4841137377887261,1.2667701687570307,0.028459489187634242,0.1318421192331701,0.03556513744536381
2,64,0.9,1.7639294460213437,2.2464822303879943,1.9230546121506529,0.028946782855789038,0.18233514457392902,0.044082778528255706
2,128,0,0.003875390689027426,0.028105634040066135,0.005326008514643428,2.6434112996189877e-5,0.002837731129734875,6.119248672376256e-4
2,128,0.1,0.012658736730577888,0.05104022135061692,0.018569562365390653,2.1955389760640803e-4,0.00520733738223053,8.839150996160231e-4
2,128,0.2,0.04201342756583767,0.1099289862612034,0.0649929152360532,0.001447722831141402,0.006919894700845466,0.0015310081760179697
