pat,n,rho,m_fmi,m_jmi,m_emi,mse_fmi,mse_jmi,mse_emi
1,128,0,0.04485495723339309,0.06439669865912616,0.004883437767639904,0.0010442603731552048,0.017778465013926506,0.0036841334898100953
1,128,0.1,0.06832326890336199,0.11710074827937599,0.03569837376733849,0.002018587678678986,0.029657502423968553,0.0051581837570890835
1,128,0.2,0.10269207183468097,0.21392437457812358,0.07963721670948176,0.0030975146184036664,0.048787149299244964,0.006402057015248985
1,128,0.3,0.15460110856792966,0.3409072279326986,0.14526592880730843,0.00400842791732862,0.07634292572539306,0.005620918442270012
1,128,0.4,0.22345616078644762,0.4906436508243591,0.2271355691391916,0.00551527964127594,0.11681056084125767,0.006803521634056963
1,128,0.5,0.30802424575490106,0.6495763262366758,0.32806447019358176,0.007325681995313442,0.15416875363481114,0.007390682308382448
1,128,0.6,0.41831495255526074,0.8161258251950929,0.45328777009031523,0.008996060129615867,0.19220626839745464,0.009364776247225598
1,128,0.7,0.5567796301830172,1.011244805872746,0.607908818599524,0.009787991479600175,0.2262260705568906,0.009846992582131234
1,128,0.8,0.7748997813678868,1.2699787176650243,0.8311901038382212,0.012932399069413448,0.26890933386054344,0.013099412639947143
1,128,0.9,1.1158121799083052,1.663130899409,1.2107565644679879,0.011312544672750295,0.30081925094946443,0.016003917173284678
1,256,0,0.041654802550846595,0.040360274047990446,-0.0068663422924071125,4.36355241113118e-4,0.0079301441391431,0.0025370140528084705
1,256,0.1,0.06179232532028637,0.0825587182671729,0.01908369409546245,6.348016199919198e-4,0.012010182583807063,0.003248661898983524
1,256,0.2,0.10503615250025539,0.18784349541810674,0.06335074177747076,0.0010734787368319846,0.02746397708038908,0.004354620733063477
1,256,0.3,0.1599273413939851,0.3126427003000777,0.1275180641773746,0.0014835333031075638,0.048796791640830034,0.0039722010735851986
1,256,0.4,0.2279326782344161,0.4627300956882779,0.2091228095698512,0.00218359310725655,0.08442384261253486,0.004148953246150515
1,256,0.5,0.30890654721603117,0.6087361980606708,0.3010350185597478,0.002781495182187036,0.11416633540142807,0.003953358913156682
1,256,0.6,0.4160904682358773,0.7738332147512195,0.4228647126443875,0.0032254761872182788,0.1443604773676776,0.004404848336531984
1,256,0.7,0.5592466228832618,0.9745154542844174,0.5838219698053376,0.0036555866464033724,0.1823544949780868,0.004191534613854276
1,256,0.8,0.7534907545118902,1.2299936489114247,0.7959760322418361,0.004366382968039274,0.2199582080723663,0.005972058991861385
1,256,0.9,1.151445335425221,1.6446204041956691,1.1710862110611102,0.006166271641961442,0.27343820266595875,0.008062911143706475
1,512,0,0.03925267674972407,0.021451127881419188,-0.018245059727255705,4.807828684458007e-4,0.0021653692676169346,0.0020260592885099054
1,512,0.1,0.058975758120133226,0.07263470333688253,0.004793846280195918,4.1794826041811195e-4,0.00697319193418416,0.0024164087927377024
1,512,0.2,0.10232212758686024,0.16915284865006353,0.050264468976420985,5.564701955782862e-4,0.01637105138810778,0.0028043923386666092
1,512,0.3,0.15676946540970713,0.29431431240365563,0.11196656573224513,7.668253650635e-4,0.03604792535017989,0.0027389325120699046
1,512,0.4,0.22594337606601733,0.42720242213553444,0.1898702471423428,9.094674402316669e-4,0.05938125908023723,0.0022881240465324206
1,512,0.5,0.3163655093494448,0.5723801928704392,0.28969408566408433,0.0012606588684213162,0.08591482544920691,0.0023955503847293597
1,512,0.6,0.4214245972253774,0.7377762250436182,0.4079562912587123,0.001320653063407262,0.11192756561371558,0.001954922424307625
1,512,0.7,0.5640810525826355,0.9468912053936529,0.5614427182002348,0.0016935062821221715,0.15365837816782543,0.0024207665990542125
1,512,0.8,0.7630521237532651,1.2016298186585377,0.7738844137683805,0.001889711394476807,0.18841599511586304,0.002840066771295972
1,512,0.9,1.1089744826647003,1.5851918739465483,1.135311101279889,0.0022103662529693083,0.20299717695773065,0.0038739580366080897
2,128,0,0.049658195226315587,0.08079066096531091,0.006174710389555326,0.0010233260180946393,0.02423147749507359,0.004214052897105409
2,128,0.1,0.043761625799943915,0.08301247988912659,0.009867797683408015,9.906601371153087e-4,0.021327649975182054,0.003011517486106695
2,128,0.2,0.0441518514819237,0.11424136646101755,0.014576749000068636,0.0012051659831669283,0.027907820347286397,0.0019253208940273286
2,128,0.3,0.051711595451434986,0.17114266733734224,0.03266015750918087,0.001792576039557964,0.036211672226393044,0.0018004310260525149
2,128,0.4,0.06400681906949275,0.27494619689594696,0.05419716403596758,0.0027587777919715253,0.06072354332083938,0.0030099625055545524
2,128,0.5,0.09326603294270677,0.3812827330485012,0.09642574408786253,0.004795895815836524,0.08144523150024541,0.005616208218208718
2,128,0.6,0.14293363336565915,0.511998847039469,0.1552254496326304,0.008331057145830944,0.11231813825616699,0.011250896638746547
2,128,0.7,0.23555155236342928,0.6740422636991854,0.2501934316759553,0.012498654407282483,0.14449121313524013,0.01699132465402658
2,128,0.8,0.3988675158015765,0.8872867186784225,0.40868018833160114,0.017357486833190106,0.17149184451986615,0.022380095679508584
2,128,0.9,0.6859242896977894,1.2376260597038036,0.7265905179280221,0.020147468410802075,0.19447400252052668,0.0306448939430551
2,256,0,0.04315713411041391,0.04305601542516918,-0.0065955571958170355,4.4693622468910775e-4,0.008301498526582874,0.0027625206778720086
2,256,0.1,0.03875810914662924,0.05710898139919501,-0.002468834262796048,5.278609199819747e-4,0.009898066906793231,0.0019371536762454135
2,256,0.2,0.04128277318363795,0.1004297638087284,0.002684287054441907,8.379388218452804e-4,0.016564437584463687,0.0014984504643938048
