"","x"
"1",128
"2",0
"3",52
"4",0.016
"5",0.108
"6",0.088
"7",0.148
"8",0.02
"9",0.052
"10",0.644
"11",0.244
"12",0.972
"13",0.72
"14",0.724
"15",0.592
"16",0.984
"17",0.848
"18",0.812
