"","x"
"1",128
"2",0
"3",14
"4",0.584
"5",0.732
"6",0.564
"7",0.3
"8",0.516
"9",0.7
"10",0.472
"11",0.2
"12",0.68
"13",0.852
"14",0.312
"15",0.84
"16",0.288
"17",0.036
"18",0.78
