"","x"
"1",256
"2",0
"3",11
"4",0.304
"5",0.828
"6",0.272
"7",0.764
"8",0.312
"9",0.58
"10",0.684
"11",0.712
"12",0.792
"13",0.676
"14",0.82
"15",0.276
"16",0.576
"17",0.704
"18",0.72
