"","x"
"1",256
"2",0
"3",79
"4",0.58
"5",0.652
"6",0.792
"7",0.352
"8",0.64
"9",0.604
"10",0.084
"11",0.076
"12",0.512
"13",0.752
"14",0.76
"15",0.504
"16",0.336
"17",0.636
"18",0.26
