"","x"
"1",128
"2",0
"3",29
"4",0.26
"5",0.2
"6",0.44
"7",0.504
"8",0.18
"9",0.888
"10",0.548
"11",0.256
"12",0.748
"13",0.896
"14",0.5
"15",0.716
"16",0.104
"17",0.732
"18",0.564
