"","x"
"1",128
"2",0
"3",78
"4",0.848
"5",0.912
"6",0.584
"7",0.592
"8",0.564
"9",0.892
"10",0.408
"11",0.56
"12",0.676
"13",0.824
"14",0.32
"15",0.536
"16",0.952
"17",0.34
"18",0.376
