"","x"
"1",256
"2",0
"3",85
"4",0.752
"5",0.632
"6",0.512
"7",0.328
"8",0.668
"9",0.544
"10",0.656
"11",0.184
"12",0.8
"13",0.996
"14",0.684
"15",0.792
"16",0.828
"17",0.46
"18",0.22
