"","x"
"1",128
"2",0.2
"3",69
"4",0.14
"5",0.02
"6",0.14
"7",0.496
"8",0.544
"9",0.204
"10",0.004
"11",0.04
"12",0
"13",0.012
"14",0.116
"15",0
"16",0.256
"17",0.184
"18",0.248
