"","x"
"1",128
"2",0.2
"3",25
"4",0.028
"5",0.08
"6",0.004
"7",0.772
"8",0.204
"9",0.276
"10",0.004
"11",0.072
"12",0
"13",0.128
"14",0.184
"15",0.032
"16",0.908
"17",0.012
"18",0.24
