"","x"
"1",128
"2",0.3
"3",29
"4",0.004
"5",0
"6",0
"7",0.108
"8",0.396
"9",0.36
"10",0
"11",0.004
"12",0
"13",0.02
"14",0.132
"15",0
"16",0.156
"17",0.148
"18",0.036
