"","x"
"1",256
"2",0.1
"3",89
"4",0.864
"5",0.08
"6",0.62
"7",0.572
"8",0.408
"9",0.536
"10",0
"11",0.136
"12",0
"13",0.216
"14",0.148
"15",0.016
"16",0.132
"17",0.304
"18",0.056
