"","x"
"1",256
"2",0
"3",1
"4",0.668
"5",0.456
"6",0.46
"7",0.58
"8",0.476
"9",0.32
"10",0.532
"11",0.528
"12",0.056
"13",0.008
"14",0.168
"15",0.108
"16",0.948
"17",0.176
"18",0.228
