"","x"
"1",256
"2",0
"3",45
"4",0.216
"5",0.712
"6",0.04
"7",0.248
"8",0.588
"9",0.392
"10",0.732
"11",0.764
"12",0.624
"13",0.628
"14",0.872
"15",0.22
"16",0.664
"17",0.424
"18",0.9
