"","x"
"1",256
"2",0
"3",24
"4",0.656
"5",0.432
"6",0.316
"7",0.836
"8",0.72
"9",0.684
"10",0.648
"11",0.54
"12",0.348
"13",0.124
"14",0.212
"15",0.04
"16",0.592
"17",0.488
"18",0.668
