"","x"
"1",256
"2",0
"3",52
"4",0.184
"5",0.2
"6",0.068
"7",0.9
"8",0.172
"9",0.132
"10",0.988
"11",0.368
"12",0.908
"13",0.644
"14",0.996
"15",0.548
"16",0.252
"17",0.5
"18",0.92
