"","x"
"1",256
"2",0
"3",67
"4",0.904
"5",0.4
"6",0.26
"7",0.76
"8",0.836
"9",0.396
"10",0.056
"11",0.332
"12",0.552
"13",0.612
"14",0.304
"15",0.98
"16",0.852
"17",0.98
"18",0.364
