"","x"
"1",128
"2",0
"3",1
"4",0.012
"5",0.336
"6",0.092
"7",0.632
"8",0.22
"9",0.472
"10",0.244
"11",0.368
"12",0.22
"13",0.66
"14",0.372
"15",0.304
"16",0.2
"17",0.516
"18",0.408
