"","x"
"1",128
"2",0
"3",48
"4",0.86
"5",0.332
"6",0.216
"7",0.268
"8",0.696
"9",0.076
"10",0.2
"11",0.58
"12",0.152
"13",0.136
"14",0.54
"15",0.464
"16",0.148
"17",0.768
"18",0.524
