"","x"
"1",256
"2",0
"3",56
"4",0.12
"5",0.524
"6",0.372
"7",0.732
"8",0.824
"9",0.344
"10",0
"11",0.164
"12",0
"13",0.24
"14",0.056
"15",0.436
"16",0.268
"17",0.268
"18",0.244
