"","x"
"1",128
"2",0
"3",76
"4",0.744
"5",0.152
"6",0.864
"7",0.9
"8",0.256
"9",0.748
"10",0.14
"11",0.112
"12",0.088
"13",0.412
"14",0.484
"15",0.368
"16",0.32
"17",0.436
"18",0.556
