"","x"
"1",128
"2",0.1
"3",23
"4",0.34
"5",0.832
"6",0.124
"7",0.184
"8",0.624
"9",0.092
"10",0.02
"11",0.16
"12",0.012
"13",0.16
"14",0.064
"15",0.044
"16",0.224
"17",0.376
"18",0.44
