"","x"
"1",256
"2",0
"3",88
"4",0.812
"5",0.104
"6",0.34
"7",0.044
"8",0.056
"9",0.044
"10",0.048
"11",0.456
"12",0.128
"13",0.584
"14",0.064
"15",0.16
"16",0.936
"17",0.852
"18",0.728
