"","x"
"1",128
"2",0.1
"3",17
"4",0.008
"5",0.088
"6",0.008
"7",0.176
"8",0.368
"9",0.068
"10",0.016
"11",0.028
"12",0
"13",0.136
"14",0.244
"15",0.232
"16",0.452
"17",0.932
"18",0.86
