"","x"
"1",128
"2",0.3
"3",72
"4",0
"5",0.028
"6",0
"7",0.004
"8",0.004
"9",0.02
"10",0
"11",0.012
"12",0
"13",0.1
"14",0.06
"15",0.012
"16",0.024
"17",0.076
"18",0
