"","x"
"1",256
"2",0
"3",72
"4",0.192
"5",0.116
"6",0.204
"7",0.368
"8",0.7
"9",0.808
"10",0.44
"11",0.512
"12",0.344
"13",0.196
"14",0.24
"15",0.028
"16",0.784
"17",1
"18",0.328
