"","x"
"1",128
"2",0.4
"3",76
"4",0
"5",0.036
"6",0
"7",0.788
"8",0.144
"9",0.592
"10",0
"11",0
"12",0
"13",0.004
"14",0.04
"15",0
"16",0
"17",0.024
"18",0
