"","pat","n","tau","true","fmi","jmi","emi"
"1",1,64,0.6,0.531,0.506987887828887,0.896088008763948,0.669513396701754
"2",1,64,0.6,0.531,0.274888775887107,0.396583608210494,0.366741235751774
"3",1,64,0.6,0.531,0.498777949935329,0.719244010324482,0.68389926866704
"4",1,64,0.6,0.531,0.59118359407361,0.796608568048112,0.798306434966397
"5",1,64,0.6,0.531,0.541241074244214,0.606588787935707,0.637699030604813
"6",1,64,0.6,0.531,0.453145101803907,0.886389283313051,0.649762200810656
"7",1,64,0.6,0.531,0.546817830874113,0.925602589416699,0.724938318103172
"8",1,64,0.6,0.531,0.36518432004875,0.449883904668946,0.468636052801191
"9",1,64,0.6,0.531,0.730738491537404,0.941006885926515,0.776128227140061
"10",1,64,0.6,0.531,0.356842100876939,0.496505951955076,0.41156376064918
"11",1,64,0.6,0.531,0.402268671469922,0.529358184551553,0.464690616847972
"12",1,64,0.6,0.531,0.481263725441085,0.584150179961727,0.575065784837682
"13",1,64,0.6,0.531,0.473911750602508,0.602883202549359,0.636886276792197
"14",1,64,0.6,0.531,0.657768551488943,0.766584298675952,0.752330825247389
"15",1,64,0.6,0.531,0.397220739054583,0.869945850171699,0.610575267043414
"16",1,64,0.6,0.531,0.53259343064828,0.731860112233832,0.659081650464931
"17",1,64,0.6,0.531,0.538694241449304,1.13921086569784,0.676405022270971
"18",1,64,0.6,0.531,0.468195464341343,0.600071140029051,0.603336884253036
"19",1,64,0.6,0.531,0.292014687928846,0.420209058114282,0.423763695624632
"20",1,64,0.6,0.531,0.569848881410795,0.764763342033705,0.738501933405458
"21",1,64,0.6,0.531,0.468207732263844,0.896841526705565,0.68543600098291
"22",1,64,0.6,0.531,0.374674595635624,0.420896618763472,0.460011764866367
"23",1,64,0.6,0.531,0.460932711128088,0.61318708473845,0.640307818435518
"24",1,64,0.6,0.531,0.492235701196922,0.885731781655618,0.666289050386155
"25",1,64,0.6,0.531,0.400112515643329,0.697373880423766,0.595616111633792
"26",1,64,0.6,0.531,0.425115499229582,0.569000377565979,0.557710305879292
"27",1,64,0.6,0.531,0.647654442095003,0.787185711350895,0.77157592999103
"28",1,64,0.6,0.531,0.551984578968955,1.1280354777728,0.676817832159778
"29",1,64,0.6,0.531,0.500149421673017,0.673350908589991,0.469236568504729
"30",1,64,0.6,0.531,0.410825968714267,0.562598648898155,0.525463080264259
"31",1,64,0.6,0.531,0.506257782241406,0.605378854511353,0.636375882921475
"32",1,64,0.6,0.531,0.549303969338063,0.767288690388024,0.739383661795919
"33",1,64,0.6,0.531,0.269668560554205,0.37673531033329,0.355210682797203
"34",1,64,0.6,0.531,0.467713360940022,0.905760856844018,0.691555279524058
"35",1,64,0.6,0.531,0.691583596865619,0.993018207020565,0.851534388991365
"36",1,64,0.6,0.531,0.603567804323974,0.918420282894548,0.752249525552907
"37",1,64,0.6,0.531,0.498093126335745,0.890458785964764,0.616704533708879
"38",1,64,0.6,0.531,0.509125731111481,0.953390048957873,0.76477585152717
"39",1,64,0.6,0.531,0.528743418230324,0.706052987014914,0.605887385872251
"40",1,64,0.6,0.531,0.421868913187812,0.576209026543915,0.584125708723729
"41",1,64,0.6,0.531,0.482249039200647,0.575551285708926,0.586400176046778
"42",1,64,0.6,0.531,0.587925610757115,0.958057130058111,0.817049295603651
"43",1,64,0.6,0.531,0.531092809370668,0.579137796501669,0.549798675578592
"44",1,64,0.6,0.531,0.658513151811122,0.773641526109037,0.751369629771777
"45",1,64,0.6,0.531,0.495224373582761,0.715682129798018,0.676240130564844
"46",1,64,0.6,0.531,0.742399265160634,0.815317087999903,0.829055476621956
"47",1,64,0.6,0.531,0.553315576121247,0.613660532530482,0.65356291341681
"48",1,64,0.6,0.531,0.502501831407296,0.710795837388061,0.601550822596526
"49",1,64,0.6,0.531,0.525553515452906,1.14283084015298,0.736074116966206
"50",1,64,0.6,0.531,0.35260249727417,0.570113569940542,0.577576570137295
