"","pat","n","tau","true","fmi","jmi","emi"
"1",1,128,0.6,0.531,0.411541854893922,0.418753531707211,0.429030310956309
"2",1,128,0.6,0.531,0.558585094381133,0.669224947837983,0.612423237148892
"3",1,128,0.6,0.531,0.701623232116718,0.854445218060295,0.716866925027097
"4",1,128,0.6,0.531,0.504577204240851,0.670246629041399,0.602290665774383
"5",1,128,0.6,0.531,0.470453021425786,0.512151987408773,0.508136197559231
"6",1,128,0.6,0.531,0.435335276906359,0.631023278939252,0.573565093623536
"7",1,128,0.6,0.531,0.513293209344894,0.681350094231019,0.635263353922726
"8",1,128,0.6,0.531,0.409146391667583,0.523279808947215,0.526338426934292
"9",1,128,0.6,0.531,0.561507655921918,0.6812345476,0.61139553381395
"10",1,128,0.6,0.531,0.412760017652476,0.56860741989916,0.453891959877014
"11",1,128,0.6,0.531,0.328069953972513,0.464762698180429,0.410482905073611
"12",1,128,0.6,0.531,0.58838195809263,0.853909388020455,0.686157652551364
"13",1,128,0.6,0.531,0.383644603726763,0.417495164676603,0.345157024808609
"14",1,128,0.6,0.531,0.45531333498121,0.644941953705042,0.571585143456419
"15",1,128,0.6,0.531,0.521638243418884,0.667600596503475,0.61089309749295
"16",1,128,0.6,0.531,0.507919151705271,0.633342087001698,0.523069213824956
"17",1,128,0.6,0.531,0.757104632635977,0.735974170864312,0.753970436385025
"18",1,128,0.6,0.531,0.421477237533037,0.613545492570605,0.536988487006014
"19",1,128,0.6,0.531,0.457187377281899,0.481719465723496,0.467366734830202
"20",1,128,0.6,0.531,0.645636565395332,0.836283836215177,0.673654394377724
"21",1,128,0.6,0.531,0.510772718387921,0.540592178567517,0.541045996046267
"22",1,128,0.6,0.531,0.4963508374433,0.734029984108962,0.470303415063301
"23",1,128,0.6,0.531,0.636003485226628,0.692156339558069,0.664768141385134
"24",1,128,0.6,0.531,0.557391035901716,0.834543735341016,0.639598984518226
"25",1,128,0.6,0.531,0.472466047435252,0.644338169596225,0.545052986775084
"26",1,128,0.6,0.531,0.448018608010299,0.614838477263552,0.514834982309805
"27",1,128,0.6,0.531,0.412113658132705,0.50941608692866,0.505075127096662
"28",1,128,0.6,0.531,0.45080764278839,0.494493027487194,0.487356927688321
"29",1,128,0.6,0.531,0.503557004176428,0.615947411462501,0.517962869343802
"30",1,128,0.6,0.531,0.687197277996229,0.699199174700735,0.646513012894609
"31",1,128,0.6,0.531,0.411811678984329,0.514358401701578,0.505998645474533
"32",1,128,0.6,0.531,0.527584274936148,0.589722542669227,0.63881645241407
"33",1,128,0.6,0.531,0.427089866603934,0.62557222492445,0.53167533632577
"34",1,128,0.6,0.531,0.442553549515245,0.638541548014194,0.565312783265864
"35",1,128,0.6,0.531,0.458709640534782,0.54298593470752,0.540169808353913
"36",1,128,0.6,0.531,0.417704287333303,0.635599133535541,0.551440893590914
"37",1,128,0.6,0.531,0.444167368359128,0.677222026065313,0.610632657762602
"38",1,128,0.6,0.531,0.540303812004399,0.851892877861187,0.72744212915828
"39",1,128,0.6,0.531,0.486703877608369,0.669615805770075,0.611089981897887
"40",1,128,0.6,0.531,0.714677282050863,0.901180070961757,0.773303581088411
"41",1,128,0.6,0.531,0.445882485775068,0.586670820606777,0.465021377950304
"42",1,128,0.6,0.531,0.455976673120098,0.655937922038469,0.582151287576715
"43",1,128,0.6,0.531,0.574944369882072,0.660744961308674,0.597593890582095
"44",1,128,0.6,0.531,0.462983733302379,0.539638525913586,0.558535880815055
"45",1,128,0.6,0.531,0.593135235083484,0.677864161482522,0.641055871672937
"46",1,128,0.6,0.531,0.403841752373705,0.624789494154144,0.517900878275855
"47",1,128,0.6,0.531,0.502537445913193,0.679237864226152,0.638354604185476
"48",1,128,0.6,0.531,0.365544518923385,0.600933027831839,0.462848513471526
"49",1,128,0.6,0.531,0.539324123419925,0.59806847986954,0.487842143840538
"50",1,128,0.6,0.531,0.678259453957115,0.865524862590843,0.729087495777189
"51",1,128,0.6,0.531,0.558171446896569,0.582106546178213,0.608353656342512
"52",1,128,0.6,0.531,0.454464501269555,0.636369557214083,0.566478651483469
"53",1,128,0.6,0.531,0.390420189966614,0.474587108885054,0.413341323303955
"54",1,128,0.6,0.531,0.601291835399665,0.656193940594473,0.617206489482362
"55",1,128,0.6,0.531,0.577467568917859,0.679757714563783,0.652577096496915
"56",1,128,0.6,0.531,0.519051643995725,0.80452557920818,0.604709386240605
"57",1,128,0.6,0.531,0.579316110684295,0.825962103122142,0.656695409591271
"58",1,128,0.6,0.531,0.556552536465457,0.660410903007107,0.59235987610153
"59",1,128,0.6,0.531,0.427694002924112,0.643947505372781,0.575123239587944
"60",1,128,0.6,0.531,0.53576237729936,0.823410486684435,0.627779771772433
"61",1,128,0.6,0.531,0.486890645723919,0.806781419539431,0.608789104147658
"62",1,128,0.6,0.531,0.445472722173773,0.620171256136825,0.535920081516989
"63",1,128,0.6,0.531,0.435625047363207,0.644362892952833,0.574532706272094
"64",1,128,0.6,0.531,0.427651086168874,0.529323734612692,0.525935045928603
"65",1,128,0.6,0.531,0.625201928002638,0.838024479811223,0.664711874097425
"66",1,128,0.6,0.531,0.494083690386324,0.823785376110592,0.60561349627482
"67",1,128,0.6,0.531,0.50662310714828,0.683870292920732,0.634211835668373
"68",1,128,0.6,0.531,0.590965348353201,0.664870087538331,0.596370298584399
"69",1,128,0.6,0.531,0.54638429998866,0.8249161488381,0.661851121862059
"70",1,128,0.6,0.531,0.40462897723689,0.615445128937677,0.513212974260922
"71",1,128,0.6,0.531,0.65444270320522,0.693268079790335,0.656679646213857
"72",1,128,0.6,0.531,0.658587777941452,0.74367833925061,0.729250581315323
"73",1,128,0.6,0.531,0.414425759414403,0.518468270260352,0.515384422605605
"74",1,128,0.6,0.531,0.407976939056147,0.784762350127394,0.55864657369578
"75",1,128,0.6,0.531,0.550015588556781,0.859834507925075,0.64704633890816
"76",1,128,0.6,0.531,0.630780529188505,0.705718383387063,0.655089190874885
"77",1,128,0.6,0.531,0.451660793164038,0.52828751587397,0.524000965199212
"78",1,128,0.6,0.531,0.765688905877686,0.776587656621433,0.805747550107738
"79",1,128,0.6,0.531,0.664262672387667,0.712273824823614,0.681060970776437
"80",1,128,0.6,0.531,0.384641720196674,0.512537568405284,0.491640476806691
"81",1,128,0.6,0.531,0.602148591620658,0.67327673911576,0.641820233282383
"82",1,128,0.6,0.531,0.618068605446886,0.672915198510854,0.597640799896607
"83",1,128,0.6,0.531,0.453425385767351,0.652964889134199,0.558920732909142
"84",1,128,0.6,0.531,0.56380380997107,0.689379939708207,0.658117395035688
"85",1,128,0.6,0.531,0.641183578651779,0.838925036646056,0.653847127718947
"86",1,128,0.6,0.531,0.485723299789226,0.690568507329671,0.637207782338776
"87",1,128,0.6,0.531,0.556733006402206,0.701881632841978,0.659637353031778
"88",1,128,0.6,0.531,0.430165411000084,0.799628226486895,0.612603758596444
"89",1,128,0.6,0.531,0.46961625618916,0.664408221936642,0.595893463410182
"90",1,128,0.6,0.531,0.400783916584338,0.631390622047491,0.542173322166607
"91",1,128,0.6,0.531,0.445863238412443,0.620483960081182,0.505994266780628
"92",1,128,0.6,0.531,0.435589736860511,0.64294769297592,0.546331657404886
"93",1,128,0.6,0.531,0.65268286804094,0.831185876487838,0.646675715358704
"94",1,128,0.6,0.531,0.46122104053736,0.651387156302311,0.57085867306923
"95",1,128,0.6,0.531,0.386513694615024,0.584244664422375,0.496088743207706
"96",1,128,0.6,0.531,0.714799062322394,0.694659451545901,0.654293400447007
"97",1,128,0.6,0.531,0.688201635909455,0.761875814066107,0.778103677302025
"98",1,128,0.6,0.531,0.608076236177667,0.880590465013802,0.742129576665952
"99",1,128,0.6,0.531,0.372400696779915,0.493542183711506,0.467223557540512
"100",1,128,0.6,0.531,0.506715692588501,0.642254552876549,0.543666248588158
"101",1,128,0.6,0.531,0.471655763721011,0.616059556942247,0.563116115369092
"102",1,128,0.6,0.531,0.490451139034935,0.677474541869853,0.601548602025879
"103",1,128,0.6,0.531,0.439426125866321,0.612896353456005,0.528385515841707
"104",1,128,0.6,0.531,0.61130457636259,0.673915904837372,0.661979048014407
"105",1,128,0.6,0.531,0.480740051006975,0.628251920684498,0.554867025293125
"106",1,128,0.6,0.531,0.461074910763646,0.651298707980637,0.543710362161473
"107",1,128,0.6,0.531,0.514517395279725,0.600789919593203,0.473845097097628
"108",1,128,0.6,0.531,0.521465402964066,0.643410991115372,0.554175201316362
"109",1,128,0.6,0.531,0.665767048649394,0.853748188387399,0.695346564070882
"110",1,128,0.6,0.531,0.59423639338295,0.659747170434726,0.627536861948838
"111",1,128,0.6,0.531,0.549685877217714,1.024927775145,0.640715333763805
"112",1,128,0.6,0.531,0.430539782873476,0.595021981676545,0.464677733161083
"113",1,128,0.6,0.531,0.581327725166097,0.883946834378126,0.722240602699262
"114",1,128,0.6,0.531,0.689900409251692,0.88276801846778,0.741207873529225
"115",1,128,0.6,0.531,0.491338646919755,0.788080228556717,0.596828999441317
"116",1,128,0.6,0.531,0.488562398779047,0.573288580149913,0.457584741219317
"117",1,128,0.6,0.531,0.44070674640982,0.619750659129747,0.508084280541046
"118",1,128,0.6,0.531,0.49511265228617,0.671795728519647,0.600796514469251
"119",1,128,0.6,0.531,0.737191174082894,0.730327809531682,0.727539469803281
"120",1,128,0.6,0.531,0.615367438497438,0.824137863657075,0.657045095754983
"121",1,128,0.6,0.531,0.677719629928061,0.845973332958278,0.70834096468225
"122",1,128,0.6,0.531,0.515093614366625,0.784268570591843,0.573021672858386
"123",1,128,0.6,0.531,0.525667042818451,0.761854229536911,0.556007850584656
"124",1,128,0.6,0.531,0.578429622110426,0.668090848027075,0.606824277959398
"125",1,128,0.6,0.531,0.654977526512259,0.680695088982181,0.635491849650459
"126",1,128,0.6,0.531,0.436966307411692,0.652754201177385,0.56167007800125
"127",1,128,0.6,0.531,0.559208952698905,0.670467789980991,0.623886738916386
"128",1,128,0.6,0.531,0.579290990518664,0.654215327008502,0.555506076490743
"129",1,128,0.6,0.531,0.422359026023222,0.621941932871324,0.510705115482212
"130",1,128,0.6,0.531,0.667151375617896,0.868813078923367,0.701843293214565
"131",1,128,0.6,0.531,0.454573531999534,0.659484363697683,0.57764737637736
"132",1,128,0.6,0.531,0.636738139672339,0.657708819468072,0.589143566311662
"133",1,128,0.6,0.531,0.505830961435581,0.54223652911025,0.565244134936283
"134",1,128,0.6,0.531,0.454303188947368,0.646287263978333,0.566031239097191
"135",1,128,0.6,0.531,0.41046199616403,0.368955368974523,0.384880773967916
"136",1,128,0.6,0.531,0.511502645651281,0.637136927052173,0.593289921149833
"137",1,128,0.6,0.531,0.457789079005748,0.635344260032871,0.550979529553527
"138",1,128,0.6,0.531,0.627303559885568,0.831403505465203,0.694334717007882
"139",1,128,0.6,0.531,0.737079457151946,0.775703003239487,0.801861323291807
"140",1,128,0.6,0.531,0.487749426501545,0.814643970251881,0.614518719856389
"141",1,128,0.6,0.531,0.670235726043196,0.725519040358543,0.710386976276983
"142",1,128,0.6,0.531,0.625056771988153,0.857699947029393,0.722257736342112
"143",1,128,0.6,0.531,0.518671046852959,0.822546647451617,0.588340066657906
"144",1,128,0.6,0.531,0.516744055812687,0.556110965398798,0.581040943109109
"145",1,128,0.6,0.531,0.388045614869552,0.502050212124405,0.484744549228086
"146",1,128,0.6,0.531,0.452358280213784,0.781380661182647,0.57783724000492
"147",1,128,0.6,0.531,0.471413392832953,0.603940698804789,0.515457477004584
"148",1,128,0.6,0.531,0.463885817240747,0.642132849319596,0.556649043784335
"149",1,128,0.6,0.531,0.457378593897896,0.532128745293557,0.564478828456899
"150",1,128,0.6,0.531,0.440161788778108,0.631442924291445,0.567545433022687
"151",1,128,0.6,0.531,0.577018906860496,0.692546365608569,0.647069532516511
"152",1,128,0.6,0.531,0.702159432223558,0.689830492516636,0.654081217565985
"153",1,128,0.6,0.531,0.470949648515352,0.786581176275624,0.55116884643291
"154",1,128,0.6,0.531,0.621725698745214,0.729135559153751,0.680905374412059
