"","pat","n","tau","true","fmi","jmi","emi"
"1",3,256,0.4,0.275,0.298437476692135,0.267541223990967,0.214725926042981
"2",3,256,0.4,0.275,0.335015344851352,0.351644131168239,0.274186260030745
"3",3,256,0.4,0.275,0.327918193078036,0.289013547605573,0.270137396696456
"4",3,256,0.4,0.275,0.297520556240031,0.307501955725308,0.214876938557202
"5",3,256,0.4,0.275,0.212963406824734,0.216951374183633,0.136150221856572
"6",3,256,0.4,0.275,0.376833947673128,0.364784467402485,0.288701299112294
"7",3,256,0.4,0.275,0.316246010778743,0.345152436157654,0.254202609453735
"8",3,256,0.4,0.275,0.281509377559996,0.298765098514148,0.194214654404842
"9",3,256,0.4,0.275,0.29100598733668,0.267699371478704,0.231816923179894
"10",3,256,0.4,0.275,0.29250782360874,0.313099366854234,0.221102127921554
"11",3,256,0.4,0.275,0.354217834392335,0.312866684956097,0.286369373123206
"12",3,256,0.4,0.275,0.453913997871555,0.50583152824657,0.395556260537855
"13",3,256,0.4,0.275,0.382161357809622,0.447402773081653,0.300606246936264
"14",3,256,0.4,0.275,0.355620208378768,0.424252214064295,0.261328762319128
"15",3,256,0.4,0.275,0.274310480121834,0.252202951586333,0.19679904735354
"16",3,256,0.4,0.275,0.335650833418895,0.347466853164369,0.270522830099464
"17",3,256,0.4,0.275,0.439906869953117,0.464022505551269,0.333563217449133
"18",3,256,0.4,0.275,0.34583077310506,0.467710300305359,0.333163681935881
"19",3,256,0.4,0.275,0.339065967585112,0.350545680931128,0.260514156739999
"20",3,256,0.4,0.275,0.266413436164175,0.261288147264168,0.198534669068278
"21",3,256,0.4,0.275,0.443472664654371,0.388525152426895,0.349172162629088
"22",3,256,0.4,0.275,0.202764013907597,0.256135351249244,0.117299676915604
"23",3,256,0.4,0.275,0.406529119633751,0.448494467177463,0.312188632045052
"24",3,256,0.4,0.275,0.264728770540898,0.373482834004829,0.200083547556038
"25",3,256,0.4,0.275,0.213283404138694,0.178124483037217,0.127158968981284
"26",3,256,0.4,0.275,0.397478887521747,0.364594828909001,0.316134530920503
"27",3,256,0.4,0.275,0.337423859824357,0.361932132088453,0.282410573415014
"28",3,256,0.4,0.275,0.396316406437252,0.381560393539602,0.324153467705876
"29",3,256,0.4,0.275,0.328635863309801,0.364565690626646,0.277573300600454
"30",3,256,0.4,0.275,0.34535328383048,0.295849936072792,0.269011694681667
"31",3,256,0.4,0.275,0.508638447242834,0.597653097355624,0.342850594121057
"32",3,256,0.4,0.275,0.357488216122751,0.439748976984201,0.284680674123254
"33",3,256,0.4,0.275,0.441036629324087,0.47921101201785,0.359076487256958
"34",3,256,0.4,0.275,0.311122892152181,0.302235313356099,0.27738580295062
"35",3,256,0.4,0.275,0.41817017686036,0.397475641850855,0.358304080303826
"36",3,256,0.4,0.275,0.423184454449129,0.382068497468192,0.338993600952351
"37",3,256,0.4,0.275,0.323853430455608,0.289627078830687,0.252582451647679
"38",3,256,0.4,0.275,0.375327980111327,0.436707771080817,0.290158318417775
"39",3,256,0.4,0.275,0.336025818285688,0.277657031808668,0.242195736730539
"40",3,256,0.4,0.275,0.355320297556167,0.383596420602757,0.325653135570216
"41",3,256,0.4,0.275,0.318864687409183,0.337451267044172,0.253928549001904
"42",3,256,0.4,0.275,0.392307838841264,0.381268793265823,0.307248489435912
"43",3,256,0.4,0.275,0.32633708836397,0.274241069643748,0.240976635559764
"44",3,256,0.4,0.275,0.221152130192096,0.269826621942749,0.136730738824497
"45",3,256,0.4,0.275,0.313861365746763,0.354592008865906,0.271246978219923
"46",3,256,0.4,0.275,0.270568134658223,0.256992042763701,0.220168326529842
"47",3,256,0.4,0.275,0.260627447786426,0.243575452718789,0.192059222700289
"48",3,256,0.4,0.275,0.281591094763657,0.244830334132986,0.184602569926786
"49",3,256,0.4,0.275,0.339349026506769,0.352914599266434,0.267152240203522
"50",3,256,0.4,0.275,0.298988943164317,0.280049955602814,0.24094653162434
"51",3,256,0.4,0.275,0.330635641734144,0.34830932799692,0.275480971041111
"52",3,256,0.4,0.275,0.341270200295179,0.2941769980407,0.263380108509801
"53",3,256,0.4,0.275,0.394896764862287,0.457540416707381,0.299641643107591
"54",3,256,0.4,0.275,0.314135871946231,0.325524956553253,0.226821705569943
"55",3,256,0.4,0.275,0.272470704338326,0.236090582307017,0.167827477763165
"56",3,256,0.4,0.275,0.326199253017757,0.28324045202414,0.251747284862067
"57",3,256,0.4,0.275,0.439389857556402,0.486964932047459,0.364041131633071
"58",3,256,0.4,0.275,0.367397089383787,0.454172790246553,0.305862275326918
"59",3,256,0.4,0.275,0.334394608509872,0.344136542563731,0.260305408207746
"60",3,256,0.4,0.275,0.299824558978807,0.26691305370856,0.233255253929785
"61",3,256,0.4,0.275,0.2967483653111,0.315074525904562,0.223614687035948
"62",3,256,0.4,0.275,0.300135651747863,0.270434405973931,0.226582043473996
"63",3,256,0.4,0.275,0.309780919375997,0.347375893631162,0.253220985171526
"64",3,256,0.4,0.275,0.396032440896474,0.469078812902572,0.321434479048518
"65",3,256,0.4,0.275,0.328508642950544,0.293252907533454,0.263668165321607
"66",3,256,0.4,0.275,0.358502423335397,0.35815588224953,0.280137882598545
"67",3,256,0.4,0.275,0.352254757385796,0.351022479541918,0.271847547679996
"68",3,256,0.4,0.275,0.316631542143784,0.343394679843501,0.25931898482214
"69",3,256,0.4,0.275,0.350609417993129,0.298662751602635,0.278496306297581
"70",3,256,0.4,0.275,0.30208103547964,0.268908838536426,0.222287550132773
"71",3,256,0.4,0.275,0.297967786995662,0.339609887952228,0.247137513690687
"72",3,256,0.4,0.275,0.299581238395089,0.261711822897772,0.221759355363941
"73",3,256,0.4,0.275,0.419494474786333,0.394178368586241,0.333829742364305
"74",3,256,0.4,0.275,0.250427206068341,0.242733414881966,0.193084552727987
"75",3,256,0.4,0.275,0.364917489613729,0.482170859199788,0.333069327569344
"76",3,256,0.4,0.275,0.376151202989283,0.462020805113384,0.317659977376873
"77",3,256,0.4,0.275,0.388531619026543,0.36764765565184,0.304571469303123
"78",3,256,0.4,0.275,0.367760086085016,0.459000841831833,0.317016486544307
"79",3,256,0.4,0.275,0.440559658621436,0.374593244381307,0.327434030493044
"80",3,256,0.4,0.275,0.268005131711831,0.29845500153767,0.271529424435597
"81",3,256,0.4,0.275,0.325540451156114,0.340704185388982,0.251795971911586
