"","pat","n","tau","true","fmi","jmi","emi"
"1",2,128,0.8,1.205,1.27081602846419,1.60974743052876,1.33919840016965
"2",2,128,0.8,1.205,1.19584804491589,1.34287888024975,1.26276940234332
"3",2,128,0.8,1.205,1.360259353645,1.40118875277472,1.41928063391636
"4",2,128,0.8,1.205,1.254698533527,1.34168303814664,1.28120090173646
"5",2,128,0.8,1.205,1.34940253889949,1.37169320975039,1.31914354318683
"6",2,128,0.8,1.205,1.17621503014853,1.29297321831134,1.1994499173163
"7",2,128,0.8,1.205,1.2086453747131,1.31742305388688,1.25819540775196
"8",2,128,0.8,1.205,1.29541349222497,1.6221397424707,1.39607891079237
"9",2,128,0.8,1.205,1.20957488083088,1.60063565303341,1.34948875408629
"10",2,128,0.8,1.205,1.26562722973288,1.56513409200521,1.27934709014725
"11",2,128,0.8,1.205,1.06954026146538,1.25386694352894,1.07111806191082
"12",2,128,0.8,1.205,1.17528578843768,1.30238136913611,1.23369831430487
"13",2,128,0.8,1.205,1.06379577056088,1.31835384652922,1.21252812357624
"14",2,128,0.8,1.205,1.39133325076283,1.34464611183849,1.27377991578449
"15",2,128,0.8,1.205,1.29608005595842,1.67170969646458,1.47872553648025
"16",2,128,0.8,1.205,1.04167995255135,1.23499616554906,1.09338012082997
"17",2,128,0.8,1.205,1.25637383264161,1.34462262899726,1.32558344908974
"18",2,128,0.8,1.205,1.19759094125638,1.32934710319897,1.25596786683894
"19",2,128,0.8,1.205,1.13420419223988,1.57244021590424,1.21110765369961
"20",2,128,0.8,1.205,1.17143411945669,1.30658135800946,1.2267028217889
"21",2,128,0.8,1.205,1.07654264952714,1.30148546588291,1.23317140874533
"22",2,128,0.8,1.205,1.07270405299663,1.27907438873515,1.17213916178965
"23",2,128,0.8,1.205,1.10654775313737,1.29810937697047,1.21079046276166
"24",2,128,0.8,1.205,1.04706049220018,1.22963941729017,1.10533359346108
"25",2,128,0.8,1.205,1.17537456052722,1.36429757222065,1.31823658869678
"26",2,128,0.8,1.205,1.30064102308994,1.71337868351656,1.50945775809168
"27",2,128,0.8,1.205,1.31182383675991,1.63372243486387,1.41363870789759
"28",2,128,0.8,1.205,1.1528016726602,1.28695759492558,1.22159664652962
"29",2,128,0.8,1.205,1.30185174442099,1.38028116615488,1.36645924691251
"30",2,128,0.8,1.205,1.13907079902266,1.26540303061693,1.1678489462487
"31",2,128,0.8,1.205,1.12105597045598,1.30056290308538,1.22952531111931
"32",2,128,0.8,1.205,1.3103564699796,1.61602152944709,1.32499157665373
"33",2,128,0.8,1.205,1.41936472433076,1.41684836357455,1.4578954391456
"34",2,128,0.8,1.205,1.02562447286945,1.27796965760994,1.17244464737276
"35",2,128,0.8,1.205,1.32505085787943,1.62714960165568,1.41301993038146
"36",2,128,0.8,1.205,1.16039199126894,1.28572565980048,1.17866549084988
"37",2,128,0.8,1.205,1.2376987810677,1.34950323972001,1.33103205941925
"38",2,128,0.8,1.205,1.24805967557682,1.35156575393435,1.33085366393286
"39",2,128,0.8,1.205,1.21573596640319,1.58780494341718,1.3142199628555
"40",2,128,0.8,1.205,1.2587697698265,1.35710419533334,1.32164090949654
"41",2,128,0.8,1.205,1.10643108423904,1.29771337603862,1.17700953938655
"42",2,128,0.8,1.205,1.34300540652374,1.63420890502564,1.42935836227304
"43",2,128,0.8,1.205,1.2444858170855,1.36850159273567,1.3507222258586
"44",2,128,0.8,1.205,1.15088771110191,1.56400606695113,1.22316641961075
"45",2,128,0.8,1.205,1.07912937485909,1.10623999293183,1.17824910737464
"46",2,128,0.8,1.205,1.15402817716782,1.29582897735328,1.20396281014403
"47",2,128,0.8,1.205,1.30163743434128,1.61500457294547,1.3691126970012
"48",2,128,0.8,1.205,1.13820157573598,1.3007647776252,1.23789423678329
"49",2,128,0.8,1.205,1.31420351695982,1.37043977592385,1.33517566558104
"50",2,128,0.8,1.205,1.08418718217115,1.28374275283827,1.18537197280223
"51",2,128,0.8,1.205,1.0661371905745,1.24426040574189,1.13452435146805
"52",2,128,0.8,1.205,1.09574126863099,1.56941274226324,1.27148935069873
"53",2,128,0.8,1.205,1.29472716067099,1.60003584138423,1.35596194681081
"54",2,128,0.8,1.205,1.12787735784798,1.2795665015499,1.23034233704878
"55",2,128,0.8,1.205,1.27589893212603,1.35891733583117,1.32753387423791
"56",2,128,0.8,1.205,1.12066357303426,1.30768931546184,1.23469461935909
"57",2,128,0.8,1.205,1.14606509459205,1.3192640244518,1.21088178446372
"58",2,128,0.8,1.205,1.21492094056498,1.28902564871706,1.23757308825079
"59",2,128,0.8,1.205,1.20987209441143,1.31563844848802,1.2219938893411
