"","pat","n","tau","true","fmi","jmi","emi"
"1",2,256,0.3,0.136,0.273933791225156,0.422019032528565,0.262806267270618
"2",2,256,0.3,0.136,0.189552986467638,0.1839163099418,0.0879903013733772
"3",2,256,0.3,0.136,0.216213619401923,0.150219049468665,0.122765223580201
"4",2,256,0.3,0.136,0.177182599650676,0.111904015438033,0.0694186338023232
"5",2,256,0.3,0.136,0.255329344934071,0.237974494818627,0.179531582305127
"6",2,256,0.3,0.136,0.208861999078804,0.167955973320018,0.126753005561527
"7",2,256,0.3,0.136,0.186510284098247,0.193524312516565,0.114776316770711
"8",2,256,0.3,0.136,0.184434299570482,0.192855527160899,0.110934942242078
"9",2,256,0.3,0.136,0.267094391051386,0.21332070744401,0.202016858263856
"10",2,256,0.3,0.136,0.212784752928027,0.193064638782025,0.108249364149362
"11",2,256,0.3,0.136,0.272610892275124,0.236145803038959,0.180643903369548
"12",2,256,0.3,0.136,0.206922956927486,0.214322450444044,0.149813271978989
"13",2,256,0.3,0.136,0.27356649112629,0.210608103285334,0.192047833571425
"14",2,256,0.3,0.136,0.187911682138393,0.160445647551727,0.118208226921998
"15",2,256,0.3,0.136,0.185740048887541,0.15428334210009,0.0966547713599074
"16",2,256,0.3,0.136,0.252065316707875,0.237847563104699,0.181181334372269
"17",2,256,0.3,0.136,0.230314873260274,0.2953150025456,0.173362205809522
"18",2,256,0.3,0.136,0.276942147491307,0.249421256671608,0.204460033972251
"19",2,256,0.3,0.136,0.21300574618861,0.170418304216923,0.126717157442349
"20",2,256,0.3,0.136,0.202846109290751,0.135956296469322,0.112680932875873
"21",2,256,0.3,0.136,0.212702058599714,0.152267271714571,0.136559665720452
"22",2,256,0.3,0.136,0.17174483188362,0.1921912721668,0.0991396682472174
"23",2,256,0.3,0.136,0.175254743660189,0.123818224313815,0.0885452224766006
"24",2,256,0.3,0.136,0.190889302416892,0.125568713991516,0.0846011694122948
"25",2,256,0.3,0.136,0.158524009469754,0.167696885282976,0.0662149908874972
"26",2,256,0.3,0.136,0.199788840730684,0.156576948200433,0.127500676385825
"27",2,256,0.3,0.136,0.242417271903293,0.231733238239197,0.171463417386328
"28",2,256,0.3,0.136,0.171147376778088,0.16738356072602,0.123131408827264
"29",2,256,0.3,0.136,0.185142274295558,0.152086678517409,0.111274122687609
"30",2,256,0.3,0.136,0.198410895848656,0.238305132787684,0.186571647918006
"31",2,256,0.3,0.136,0.235280974178933,0.164824002063454,0.162786192890289
"32",2,256,0.3,0.136,0.215136064386754,0.14222116534579,0.124994004463861
"33",2,256,0.3,0.136,0.173449472673024,0.180201625720633,0.1485174972269
"34",2,256,0.3,0.136,0.280197178953488,0.236064118435186,0.176405798700203
"35",2,256,0.3,0.136,0.164830402681822,0.111076315655244,0.0714490123451195
"36",2,256,0.3,0.136,0.163612477748476,0.140025121188661,0.08851307378192
"37",2,256,0.3,0.136,0.19398928110361,0.109236467038203,0.099592910105441
"38",2,256,0.3,0.136,0.157672248876692,0.170483224793978,0.125655046492998
"39",2,256,0.3,0.136,0.175304468773446,0.117611312860535,0.0768043184115777
"40",2,256,0.3,0.136,0.195269022623188,0.114219362311135,0.101429041756019
"41",2,256,0.3,0.136,0.169949742179865,0.181091110573075,0.0912869357856916
"42",2,256,0.3,0.136,0.225778655465947,0.214582519212096,0.13662312109548
"43",2,256,0.3,0.136,0.105785974714307,0.101961525444713,0.0520227454275118
"44",2,256,0.3,0.136,0.190227751358851,0.155547678582353,0.10856559929712
"45",2,256,0.3,0.136,0.209622763677838,0.199220322217925,0.12158079068132
"46",2,256,0.3,0.136,0.135754192499669,0.179878213890208,0.0950334600386061
"47",2,256,0.3,0.136,0.248518047103631,0.19602996241143,0.166828831595575
"48",2,256,0.3,0.136,0.223930584385326,0.157268184092234,0.0998497949413902
"49",2,256,0.3,0.136,0.202088302178497,0.19282077954639,0.11399785976269
"50",2,256,0.3,0.136,0.164995969089335,0.134094168824754,0.0645453803480296
"51",2,256,0.3,0.136,0.177913434199166,0.143552025021311,0.0862464322897079
"52",2,256,0.3,0.136,0.170315420208265,0.133160630513957,0.0708330261546911
"53",2,256,0.3,0.136,0.162922445554159,0.181963427036347,0.0935092779417097
"54",2,256,0.3,0.136,0.297229482258824,0.297857977065065,0.19714609731252
"55",2,256,0.3,0.136,0.187385237657134,0.250262218239704,0.111612857123493
"56",2,256,0.3,0.136,0.209175676237613,0.216281943038032,0.144593678814551
"57",2,256,0.3,0.136,0.170567463923328,0.143637341411355,0.0948472692914891
"58",2,256,0.3,0.136,0.211901343727142,0.146583520853417,0.142408218449039
"59",2,256,0.3,0.136,0.231952376888431,0.179238224480306,0.151296571962278
"60",2,256,0.3,0.136,0.208520782477116,0.137218302303482,0.117652782621687
"61",2,256,0.3,0.136,0.187737124773752,0.108074001094597,0.0904607615247595
"62",2,256,0.3,0.136,0.282173676098845,0.259059428845874,0.209820752677486
"63",2,256,0.3,0.136,0.236308543219348,0.217013711954031,0.141974746062028
"64",2,256,0.3,0.136,0.217821803962858,0.210687619005929,0.130542114342268
"65",2,256,0.3,0.136,0.202668433381043,0.119082668443537,0.10599008025275
"66",2,256,0.3,0.136,0.164841316014925,0.133189524942719,0.0596915930212329
"67",2,256,0.3,0.136,0.1946103063333,0.158806749601042,0.105795357315029
"68",2,256,0.3,0.136,0.174854767137299,0.14697229946041,0.0965352650715195
"69",2,256,0.3,0.136,0.19292729928997,0.198841171828411,0.138454667493375
"70",2,256,0.3,0.136,0.197901881795893,0.133729214127598,0.104096352079907
"71",2,256,0.3,0.136,0.204209193995658,0.14313988571795,0.120883468111252
"72",2,256,0.3,0.136,0.207163533003209,0.205500204469445,0.123601679358121
"73",2,256,0.3,0.136,0.230461742978685,0.175153052263833,0.141335548538643
"74",2,256,0.3,0.136,0.173147752624303,0.135846384020597,0.0829771395224466
"75",2,256,0.3,0.136,0.193476378652374,0.188060092411553,0.0996031822735216
"76",2,256,0.3,0.136,0.161414570813849,0.171657429875704,0.0887430003785895
"77",2,256,0.3,0.136,0.298774531780449,0.227621656473166,0.217880288612743
"78",2,256,0.3,0.136,0.179826868936763,0.10695688349677,0.0905454397950048
"79",2,256,0.3,0.136,0.233966646862436,0.161670155054836,0.129534709931076
"80",2,256,0.3,0.136,0.161777109560946,0.114536217232683,0.0818240319026811
