"","pat","n","tau","true","fmi","jmi","emi"
"1",2,128,0.5,0.375,0.265549877929923,0.370107738768986,0.360228924632764
"2",2,128,0.5,0.375,0.409565321615687,0.53775990616594,0.540791449810807
"3",2,128,0.5,0.375,0.376444880883318,0.455415767446752,0.393114568912303
"4",2,128,0.5,0.375,0.39842260624627,0.773555797241808,0.517112130523994
"5",2,128,0.5,0.375,0.360556322137826,0.441319599278087,0.379207625538157
"6",2,128,0.5,0.375,0.431050378254884,0.475344949863762,0.45361654669421
"7",2,128,0.5,0.375,0.354119533855623,0.521466936463472,0.507495849302396
"8",2,128,0.5,0.375,0.296056003361326,0.4278283308791,0.318043409159508
"9",2,128,0.5,0.375,0.239090021994663,0.419262530109973,0.318631491530639
"10",2,128,0.5,0.375,0.526639063651622,0.630203148245305,0.517759444495348
"11",2,128,0.5,0.375,0.232217515817783,0.400604841108901,0.305342712495397
"12",2,128,0.5,0.375,0.379249986684258,0.616214068134167,0.525311925085348
"13",2,128,0.5,0.375,0.307209659799585,0.401937332176303,0.399240496771251
"14",2,128,0.5,0.375,0.486611423361512,0.521512380207455,0.512391168671331
"15",2,128,0.5,0.375,0.39067862665671,0.449591739812721,0.39050912334312
"16",2,128,0.5,0.375,0.417372919846011,0.602700433342582,0.491117458544091
"17",2,128,0.5,0.375,0.44474576377281,0.50141746297438,0.461626127780711
"18",2,128,0.5,0.375,0.451096989852514,0.486329039002145,0.45961542896
"19",2,128,0.5,0.375,0.379280286016199,0.574860858941439,0.448494585972692
"20",2,128,0.5,0.375,0.301580031758788,0.456852568402596,0.405321801773202
"21",2,128,0.5,0.375,0.368546942028505,0.436763146428169,0.36877050689868
"22",2,128,0.5,0.375,0.236701866169428,0.342128643165941,0.31252915597848
"23",2,128,0.5,0.375,0.409183685265452,0.827084477003253,0.657170840912147
"24",2,128,0.5,0.375,0.326312806439982,0.389904561698889,0.387945219634328
"25",2,128,0.5,0.375,0.447083117247342,0.459669941573313,0.413467621508702
"26",2,128,0.5,0.375,0.194406139518753,0.287267769305599,0.283007824344448
"27",2,128,0.5,0.375,0.344548782861287,0.440179847960334,0.371050617086609
"28",2,128,0.5,0.375,0.432272388189214,0.486288433507758,0.42861586203466
"29",2,128,0.5,0.375,0.293657698600312,0.454600083606518,0.398888412536055
"30",2,128,0.5,0.375,0.316254100447887,0.329393388301447,0.292693879619705
"31",2,128,0.5,0.375,0.262218425802681,0.56684726822422,0.421762154376785
"32",2,128,0.5,0.375,0.515176909889474,0.772616377776475,0.571839970117633
"33",2,128,0.5,0.375,0.326566768507617,0.367955446552027,0.3609158156685
"34",2,128,0.5,0.375,0.499453334289126,0.498844493357743,0.465584000325776
"35",2,128,0.5,0.375,0.410126595859105,0.505160643956772,0.478525363848601
"36",2,128,0.5,0.375,0.455009105621276,0.52133507404411,0.521995390014665
"37",2,128,0.5,0.375,0.370854229991072,0.567549503990084,0.398343024042759
"38",2,128,0.5,0.375,0.513353735895214,0.788107340241964,0.565842206577952
"39",2,128,0.5,0.375,0.359594837832993,0.389551220235938,0.392587853874841
"40",2,128,0.5,0.375,0.282683469729416,0.434653101495902,0.365100038834957
"41",2,128,0.5,0.375,0.414620236719456,0.692778748135881,0.387971565137468
"42",2,128,0.5,0.375,0.215685431701872,0.42895205113749,0.328509452777982
"43",2,128,0.5,0.375,0.263722064854884,0.334153528456552,0.306919312384234
"44",2,128,0.5,0.375,0.375164975140688,0.554799108436637,0.374141887110504
