"","pat","n","rho","true","fmi","jmi","emi"
"1",4,128,0.5,0.447896105162907,0.589790478708676,0.973524254532279,0.655833067728407
"2",4,128,0.5,0.447896105162907,0.451592888503968,0.773801660926919,0.531252479552387
"3",4,128,0.5,0.447896105162907,0.452107262969716,0.922481124796513,0.398495070972857
"4",4,128,0.5,0.447896105162907,0.525032016794801,0.940544173406723,0.427227600096996
"5",4,128,0.5,0.447896105162907,0.591026385899554,1.24909300077026,0.653308337865458
"6",4,128,0.5,0.447896105162907,0.633013009070724,1.00158149258468,0.666873652147113
"7",4,128,0.5,0.447896105162907,0.538843286594914,0.994928895551971,0.573278649583972
"8",4,128,0.5,0.447896105162907,0.311281358032514,0.74234223144326,0.277467392847466
"9",4,128,0.5,0.447896105162907,0.379695140279814,0.94627799256455,0.446266792014359
"10",4,128,0.5,0.447896105162907,0.430413148190471,0.959099081624496,0.451980058853483
"11",4,128,0.5,0.447896105162907,0.560494226391147,0.983808378628188,0.493064144567751
"12",4,128,0.5,0.447896105162907,0.385808278349023,0.972446976839284,0.413716005562292
"13",4,128,0.5,0.447896105162907,0.487882945603122,0.982777543056538,0.553885157160122
"14",4,128,0.5,0.447896105162907,0.490140529466185,1.22924715475016,0.502142779106282
"15",4,128,0.5,0.447896105162907,0.451982862438028,0.791749454024802,0.530934825316127
"16",4,128,0.5,0.447896105162907,0.389325210070405,0.780891631185698,0.423660813242766
"17",4,128,0.5,0.447896105162907,0.437469305382207,0.975661127427375,0.494770610847245
"18",4,128,0.5,0.447896105162907,0.457946505432743,0.781191514377302,0.518850941069352
"19",4,128,0.5,0.447896105162907,0.352994832619029,1.22463379062888,0.358776993075385
"20",4,128,0.5,0.447896105162907,0.388484172716404,0.298891933134264,0.276129775484111
"21",4,128,0.5,0.447896105162907,0.53735296773002,0.777083551389273,0.489874866798821
"22",4,128,0.5,0.447896105162907,0.493813033910578,0.990579661138756,0.40223299764158
"23",4,128,0.5,0.447896105162907,0.393425075339998,0.76353275744883,0.463639845128986
"24",4,128,0.5,0.447896105162907,0.413999606454116,1.21025248558389,0.405980235817652
"25",4,128,0.5,0.447896105162907,0.39769962029592,0.939656956615274,0.360626065319904
"26",4,128,0.5,0.447896105162907,0.579561687081137,0.965630438220888,0.466700837984321
"27",4,128,0.5,0.447896105162907,0.514203059733643,0.766405708348962,0.524921371603856
"28",4,128,0.5,0.447896105162907,0.652619941991631,0.983382656801111,0.618549984785392
"29",4,128,0.5,0.447896105162907,0.35756317175124,0.765591112083301,0.466816993008629
"30",4,128,0.5,0.447896105162907,0.383127711462308,0.750250089386207,0.34108542321826
"31",4,128,0.5,0.447896105162907,0.358549626035513,0.925541990860365,0.48835148554213
"32",4,128,0.5,0.447896105162907,0.503838729109389,1.21415890640398,0.507052741317981
"33",4,128,0.5,0.447896105162907,0.586142696232033,1.00734069572894,0.615106946391907
"34",4,128,0.5,0.447896105162907,0.504314790512934,0.792613323128598,0.580751614663565
"35",4,128,0.5,0.447896105162907,0.474434278187119,1.23928531174833,0.468429027760999
"36",4,128,0.5,0.447896105162907,0.557136105539285,1.20969667626633,0.612807535202326
"37",4,128,0.5,0.447896105162907,0.399067880039551,0.938261480929037,0.442060716308818
"38",4,128,0.5,0.447896105162907,0.515707874749468,1.03439615324813,0.474827550925614
"39",4,128,0.5,0.447896105162907,0.597959576239149,1.22002044299129,0.574531028105626
"40",4,128,0.5,0.447896105162907,0.362149253899567,0.555459445041403,0.340487225917659
"41",4,128,0.5,0.447896105162907,0.334814813111906,1.00378090534594,0.370797334241527
"42",4,128,0.5,0.447896105162907,0.42766242467665,0.766195005489456,0.467384003328292
"43",4,128,0.5,0.447896105162907,0.510235668643381,0.95705560796586,0.546432518569364
"44",4,128,0.5,0.447896105162907,0.302905949440729,0.592552890275769,0.367626559311299
"45",4,128,0.5,0.447896105162907,0.605743765483691,0.970310551113591,0.516047950992623
"46",4,128,0.5,0.447896105162907,0.501861257397352,1.2433886176465,0.511331450334233
"47",4,128,0.5,0.447896105162907,0.590173141215836,0.956084924043926,0.458301978448457
"48",4,128,0.5,0.447896105162907,0.424467334790705,0.583901021190639,0.406984850295536
"49",4,128,0.5,0.447896105162907,0.32822279752868,0.961639393099637,0.442298974205392
"50",4,128,0.5,0.447896105162907,0.447559164640489,0.776046284796665,0.451908585688918
"51",4,128,0.5,0.447896105162907,0.619396997954616,1.01242114518065,0.574126322237325
"52",4,128,0.5,0.447896105162907,0.319275741245979,0.586797159559869,0.419464907301358
"53",4,128,0.5,0.447896105162907,0.471317175300068,0.984183451190818,0.509111775270048
"54",4,128,0.5,0.447896105162907,0.525804526616871,1.00635784370193,0.583065018556996
"55",4,128,0.5,0.447896105162907,0.370622570352049,0.754153992084512,0.363186024269322
"56",4,128,0.5,0.447896105162907,0.461105886908954,0.734953393121604,0.336208389612261
"57",4,128,0.5,0.447896105162907,0.555124327904479,0.76908038378516,0.483700666585061
"58",4,128,0.5,0.447896105162907,0.479400137235296,0.993985844037256,0.499009052038677
"59",4,128,0.5,0.447896105162907,0.465020080946056,0.766792561899048,0.475106122598357
"60",4,128,0.5,0.447896105162907,0.403731676603793,0.750323942645375,0.475471546917785
"61",4,128,0.5,0.447896105162907,0.386038766212711,1.01460382940212,0.447373104339535
"62",4,128,0.5,0.447896105162907,0.54752582145913,0.967095588377628,0.515835005943281
"63",4,128,0.5,0.447896105162907,0.433387455930513,0.740500444907862,0.416189972459846
"64",4,128,0.5,0.447896105162907,0.465931484144939,0.793791009364967,0.532608981405387
"65",4,128,0.5,0.447896105162907,0.941798020906711,1.24029511331302,0.778194806323938
"66",4,128,0.5,0.447896105162907,0.236507938201526,0.964703250909503,0.338081205139237
"67",4,128,0.5,0.447896105162907,0.567319839417399,0.802848185734347,0.597869872535252
"68",4,128,0.5,0.447896105162907,0.465218045454716,1.21136739745741,0.452414271804855
"69",4,128,0.5,0.447896105162907,0.377763118965267,1.23826652557879,0.445175554945672
"70",4,128,0.5,0.447896105162907,0.514656875609957,0.776171375405448,0.588572451312353
"71",4,128,0.5,0.447896105162907,0.470946345886167,0.606273869621139,0.466493723846451
