"","pat","n","rho","true","fmi","jmi","emi"
"1",4,512,0,0,0.0272255061336668,0.0012197102831254,-0.0272985858603629
"2",4,512,0,0,0.0113649107104304,0.00111701302886397,-0.0264743177554109
"3",4,512,0,0,0.0392203683463678,0.00936890738509448,-0.0322604236885059
"4",4,512,0,0,0.0308053565017697,0.00110076216615376,-0.015117038622021
"5",4,512,0,0,0.0158938270787821,0.00102708016049638,-0.0203655734486511
"6",4,512,0,0,0.00823643014947117,0.037459339836461,-0.0488453476079205
"7",4,512,0,0,0.0362017896153294,0.00122795981730586,-0.025084469481369
"8",4,512,0,0,0.024824638982763,0.069750774416651,-0.0361281927296071
"9",4,512,0,0,0.00772440646670131,0.00220698975183266,-0.0222329357687213
"10",4,512,0,0,0.0141865798612287,0.0722334352667369,-0.0262387662885761
"11",4,512,0,0,0.0302985367394658,0.0659095328828359,-0.0295309266955503
"12",4,512,0,0,0.0142395180874537,0.0356075372853991,-0.0254953530050792
"13",4,512,0,0,0.00869907616572768,0.0133595555562714,-0.0296899391327171
"14",4,512,0,0,0.0365181884150612,0.00100921740598808,-0.0092989366178277
"15",4,512,0,0,0.0355880667248519,0.00657627127587663,-0.0273592504308693
"16",4,512,0,0,0.00215992586939545,0.00124613455429126,-0.0256658333932853
"17",4,512,0,0,0.0505701400741099,0.00115440449218811,-0.00733136096218317
"18",4,512,0,0,0.0284338863287107,0.0985561752234649,-0.0107979634251172
"19",4,512,0,0,0.0215909968891502,0.00122138616851879,-0.0537473961390529
"20",4,512,0,0,0.00242443157089706,0.0376923150946416,-0.0326833240789711
"21",4,512,0,0,0.00500831909369809,0.00101344751062906,-0.0300115342926253
"22",4,512,0,0,0.0257657393946611,0.00503398648681801,-0.0140722627213132
"23",4,512,0,0,0.0536762240002335,0.000971153260930233,-0.0213443078823537
"24",4,512,0,0,0.000899031343395473,0.00120585313408652,-0.0453977420251101
"25",4,512,0,0,0.0127604732427177,0.000994624608464195,-0.0434806203651648
"26",4,512,0,0,0.0123008453544405,0.00103779676179548,-0.0398035685152103
