"","pat","n","rho","true","fmi","jmi","emi"
"1",1,256,0,0,0.0499467036131833,0.00264520480021372,0.00848757456867644
"2",1,256,0,0,0.0517150949177858,0.056812946688022,-0.0134635752197488
"3",1,256,0,0,0.0114040771749206,0.00586989251097236,-0.0385697560075463
"4",1,256,0,0,0.0596223368462451,0.00208471244998989,-0.00812384211227069
"5",1,256,0,0,0.011952085683543,0.00486228148674149,-0.0123599263766145
"6",1,256,0,0,0.0278825784652112,0.00210650145631833,-0.014984020929075
"7",1,256,0,0,0.0127393989512716,0.00221256240608511,-0.00319144183124337
"8",1,256,0,0,0.0725859028005414,0.0121357385000241,0.0267513157009022
"9",1,256,0,0,0.00732207685886621,0.00204924344624524,-0.000540015104281628
"10",1,256,0,0,0.0543107739923321,0.00222456809765389,-0.0117928851285067
"11",1,256,0,0,0.037466207091338,0.00365182905959441,-0.0132704023132566
"12",1,256,0,0,0.0290792222849066,0.00229810548766845,-0.0313401390944355
"13",1,256,0,0,0.000253933387380667,0.00215664554638144,-0.035075099450091
"14",1,256,0,0,0.0341983385097936,0.00239543488954386,-0.0136683081625141
"15",1,256,0,0,0.00730478747684105,0.00222876125554418,-0.00292762127735322
"16",1,256,0,0,0.00986153257136013,0.00228050292655499,-0.00781128418440812
"17",1,256,0,0,0.0106300740011238,0.00230003727152286,-0.00877932456028884
"18",1,256,0,0,0.0859052931354456,0.00228238767437384,-0.0141181742789405
"19",1,256,0,0,0.0541189520878661,0.199283441434308,-0.0322859711542522
"20",1,256,0,0,0.0443364053432476,0.00223327558409854,0.00777731108196559
"21",1,256,0,0,0.0157774209226087,0.00199688835817231,-0.0125462887045167
"22",1,256,0,0,0.036246741329624,0.00201776443003825,-0.00839542951110046
"23",1,256,0,0,0.00261980108694226,0.0021574148584589,0.0222952767002675
"24",1,256,0,0,0.0818091067082762,0.00215383024957751,-0.0250604983053209
"25",1,256,0,0,0.00113298096216652,0.201827155088214,-0.0155256675393509
"26",1,256,0,0,0.0125476656341662,0.00233715220258427,-0.0323041772626837
"27",1,256,0,0,0.114427704833599,0.00225011390154609,-0.0302455625905145
"28",1,256,0,0,0.0398680079767255,0.0369398072463476,-0.0100316165351361
"29",1,256,0,0,0.0189938101749751,0.0276956407358367,-0.000745107006007585
"30",1,256,0,0,0.0296119917964672,0.0322212734512809,0.0312002109597205
"31",1,256,0,0,0.0285788418784023,0.00195687518603835,-0.0110842673491847
"32",1,256,0,0,0.0630838238284664,0.00196358142717673,-0.00214476514226894
"33",1,256,0,0,0.0369528392576425,0.00638332472091154,-0.0122295213255476
"34",1,256,0,0,0.0391274680864138,0.0089459253822483,-0.0145595105061082
"35",1,256,0,0,0.0177755958959789,0.00215283376425655,0.00680820424856475
"36",1,256,0,0,0.033742488642026,0.0102754813020336,-0.0378612287131595
"37",1,256,0,0,0.0545574972049726,0.10571347751216,-0.0192775381755273
"38",1,256,0,0,0.0338453226859907,0.0563579482201135,-0.0132011816067728
"39",1,256,0,0,0.0520260423375601,0.00201754668491341,-0.0207824648631737
"40",1,256,0,0,0.0506042960466282,0.00579625085388908,0.00149330545377923
"41",1,256,0,0,0.0627285618271834,0.00353943000802756,-0.0105940114574352
"42",1,256,0,0,0.0671010281085349,0.00206912484556657,0.0115212056204763
"43",1,256,0,0,0.0182576406685782,0.00200828508318674,-0.0187168328287831
"44",1,256,0,0,0.024504411985778,0.396248778560542,-0.00193220726963379
"45",1,256,0,0,0.0693156714975564,0.00207978205148073,-0.0146889763928008
"46",1,256,0,0,0.0360659555800114,0.198245096437175,0.0201965556980096
"47",1,256,0,0,0.0294002900932641,0.00584081509188785,-0.0259851680072132
"48",1,256,0,0,0.0489381209450205,0.00224159641254475,-0.0252970112309467
"49",1,256,0,0,0.0466979929380386,0.00224434133822197,0.00389530726846507
"50",1,256,0,0,0.0847111434723199,0.196648500983604,-0.00659760188367471
"51",1,256,0,0,0.0286766715961423,0.0447643522703718,-0.0272659563266531
"52",1,256,0,0,0.0282206773833108,0.00231043152683258,-0.0238699996839886
"53",1,256,0,0,0.017238679240143,0.142610989813771,0.00929764285272138
"54",1,256,0,0,0.0255389173118437,0.200277631962292,-0.0168594107240549
"55",1,256,0,0,0.0271434431137856,0.00538302587377422,-0.022158706555174
"56",1,256,0,0,0.0690484091510145,0.0204877015164562,-0.00946481656061311
"57",1,256,0,0,0.0493265591598488,0.00387376864301436,-0.0183481965264876
"58",1,256,0,0,0.0961746361902451,0.046057881368224,0.0192161941858841
"59",1,256,0,0,0.0313940022283242,0.0174759313890762,-0.0100821341990781
"60",1,256,0,0,0.0377558260623779,0.021413032573777,-0.0209429104583526
"61",1,256,0,0,0.01885049414141,0.0327121109037157,-0.0173288322453259
"62",1,256,0,0,0.0246420504023024,0.00433694101706299,-0.0434629327078528
"63",1,256,0,0,0.0216029989948663,0.102977979935957,-0.0393186796886386
"64",1,256,0,0,0.00879352876249528,0.00225217969500293,-0.0264600207429316
"65",1,256,0,0,0.0508332365096056,0.0570848561525609,0.0205502914444595
"66",1,256,0,0,0.0224362275625308,0.00213595781490979,-0.0247361175624893
"67",1,256,0,0,0.0049258489163797,0.142105898723812,-0.0222822360760154
"68",1,256,0,0,0.039103983041747,0.00199506795277049,0.0175382819412184
"69",1,256,0,0,0.0352884612194726,0.00885174928157718,-0.0112699911160773
"70",1,256,0,0,0.0598533235830137,0.00205655776167733,0.0189099433447988
"71",1,256,0,0,0.0335277426981323,0.139053034927097,-0.00578399362414967
"72",1,256,0,0,0.00622263793867162,0.00223659933992862,-0.0222386032499874
"73",1,256,0,0,0.0366642325906559,0.00308499521470852,-0.0397398157030356
"74",1,256,0,0,0.0303933546585844,0.00236402676796658,-0.00545478701955905
"75",1,256,0,0,0.0173222519898016,0.00234902037600181,-0.032286950097861
"76",1,256,0,0,0.0609318300691415,0.0143526183812845,-0.0175386086319248
"77",1,256,0,0,0.0290651566777237,0.00207916605373387,-0.0139797625220246
"78",1,256,0,0,0.00890217701073515,0.002268267965429,0.0184279585904761
"79",1,256,0,0,0.00446319330427614,0.100943714663421,-0.0175475674897334
"80",1,256,0,0,0.033100219657431,0.00906446458420596,-6.998925159741e-05
"81",1,256,0,0,0.0503789893036095,0.398580251555562,-0.00506287182971103
"82",1,256,0,0,0.0321525995795484,0.00262111826047688,-0.0285418658299408
"83",1,256,0,0,0.0472069077569833,0.144584635842319,0.0178384117888648
"84",1,256,0,0,0.0187060659245282,0.0111387801985188,-0.0150195697485898
"85",1,256,0,0,0.0665457437546463,0.00210022533915325,-0.0296645873200464
"86",1,256,0,0,0.0194149034701195,0.00270038853859895,-0.0176206383568336
"87",1,256,0,0,0.0536542685341901,0.0021810081520116,-0.0135844430567447
"88",1,256,0,0,0.00151967739334247,0.00229374412177507,-0.0246855551058746
"89",1,256,0,0,0.121239419142258,0.00234005741109306,0.00806961830254156
"90",1,256,0,0,0.0834310414440698,0.00209786531260045,0.0456387051459443
"91",1,256,0,0,0.0667882913122447,0.00230256862983215,-0.00512444529813458
"92",1,256,0,0,0.050548316399019,0.00232970783358884,-0.000686874261691551
"93",1,256,0,0,0.0108159551551226,0.00219187343620421,0.00814097871443207
