"","pat","n","rho","true","fmi","jmi","emi"
"1",2,512,0.9,0.830365603410826,0.685956143376199,1.15227229554993,0.684355756739454
"2",2,512,0.9,0.830365603410826,0.615559450138025,1.13027012218502,0.648583632541093
"3",2,512,0.9,0.830365603410826,0.694264332279729,1.41573074808598,0.702614598938909
"4",2,512,0.9,0.830365603410826,0.602064074795674,1.13164639997235,0.637955511012948
"5",2,512,0.9,0.830365603410826,0.638392825345303,1.38542771721719,0.683375884763051
"6",2,512,0.9,0.830365603410826,0.668620976372383,1.12570163764944,0.65768501610847
"7",2,512,0.9,0.830365603410826,0.655898033720793,1.14320926223564,0.714361568638836
"8",2,512,0.9,0.830365603410826,0.633044257721758,1.09659494697564,0.66413492119953
"9",2,512,0.9,0.830365603410826,0.640601350010642,1.14344063658383,0.720085697850534
"10",2,512,0.9,0.830365603410826,0.801467303015817,1.40773377139073,0.738924309226361
"11",2,512,0.9,0.830365603410826,0.551637054131824,1.1302737954021,0.595755016217841
"12",2,512,0.9,0.830365603410826,0.698571322249001,1.42468213462391,0.758684499225637
"13",2,512,0.9,0.830365603410826,0.672709762623718,1.40129756629714,0.721137086497828
"14",2,512,0.9,0.830365603410826,0.622265180527879,1.13387484871725,0.673404210676776
"15",2,512,0.9,0.830365603410826,0.670555347406066,1.38516701753048,0.719081380245011
"16",2,512,0.9,0.830365603410826,0.718176704884879,1.42084045694501,0.720507124357459
"17",2,512,0.9,0.830365603410826,0.69252049628482,1.40886259913934,0.696436120582452
"18",2,512,0.9,0.830365603410826,0.733190779913374,1.3799187501201,0.792466980282523
"19",2,512,0.9,0.830365603410826,0.656984495742802,1.12471350513169,0.634698505390452
"20",2,512,0.9,0.830365603410826,0.593271126492734,1.12316558214925,0.622670223575876
"21",2,512,0.9,0.830365603410826,0.621250051809235,1.40765638070826,0.664021420493553
"22",2,512,0.9,0.830365603410826,0.550954673454125,1.10394449967687,0.585975370012979
"23",2,512,0.9,0.830365603410826,0.611517710988258,1.13425231395193,0.647646082348673
"24",2,512,0.9,0.830365603410826,0.719444429172002,1.39787202757142,0.705610347081301
"25",2,512,0.9,0.830365603410826,0.680570213051604,1.08659159093029,0.659643585530098
"26",2,512,0.9,0.830365603410826,0.639125730246236,1.14052951145417,0.694457335686261
"27",2,512,0.9,0.830365603410826,0.650561207597582,1.12466795618047,0.666856705289227
"28",2,512,0.9,0.830365603410826,0.612446123241173,1.38793930936192,0.656873775940615
"29",2,512,0.9,0.830365603410826,0.672229166948521,1.1777833800447,0.648454219941891
"30",2,512,0.9,0.830365603410826,0.673476419518481,1.11323326961273,0.667104430150343
"31",2,512,0.9,0.830365603410826,0.716618636516426,1.14049007530772,0.704392936582277
"32",2,512,0.9,0.830365603410826,0.668861410189379,1.12534543695183,0.72321373671061
"33",2,512,0.9,0.830365603410826,0.625306546498299,1.38491283288005,0.608295971061493
"34",2,512,0.9,0.830365603410826,0.630844199412138,1.38718925657715,0.623677355956623
"35",2,512,0.9,0.830365603410826,0.763546417803074,1.39651642736001,0.71315562963663
"36",2,512,0.9,0.830365603410826,0.592086414967551,1.13224934284113,0.614798646657511
"37",2,512,0.9,0.830365603410826,0.654686354706454,1.12634450269082,0.615788226830782
"38",2,512,0.9,0.830365603410826,0.696087644456576,1.36391999665724,0.698806521258274
"39",2,512,0.9,0.830365603410826,0.627044672348189,1.14343911731917,0.684899979765152
"40",2,512,0.9,0.830365603410826,0.687362647594834,1.12920254652372,0.699977343522268
"41",2,512,0.9,0.830365603410826,0.780727116426144,1.17091064285139,0.75629102569995
"42",2,512,0.9,0.830365603410826,0.641099039738429,1.12333578676519,0.63965503078094
"43",2,512,0.9,0.830365603410826,0.591295721744115,1.12140811684843,0.606236316897988
"44",2,512,0.9,0.830365603410826,0.625690914459089,1.15669233413176,0.64970522474026
"45",2,512,0.9,0.830365603410826,0.743940969126792,1.40104625531313,0.744531186168741
"46",2,512,0.9,0.830365603410826,0.696331244961967,1.39716575718644,0.714559060751367
"47",2,512,0.9,0.830365603410826,0.763319449639167,1.40480429689956,0.748892124205135
"48",2,512,0.9,0.830365603410826,0.685927727822294,1.13929827405899,0.682672735379315
"49",2,512,0.9,0.830365603410826,0.74022511626328,1.14590044859356,0.711568579569325
"50",2,512,0.9,0.830365603410826,0.661168144291451,1.39487815106061,0.648370714687905
"51",2,512,0.9,0.830365603410826,0.608525362263957,1.09278927892705,0.640103615952871
"52",2,512,0.9,0.830365603410826,0.627861542161042,1.10452481738357,0.664880024620196
"53",2,512,0.9,0.830365603410826,0.723191011837071,1.41976341267507,0.738199663683865
"54",2,512,0.9,0.830365603410826,0.639662348391782,1.11205733873721,0.643830518767354
"55",2,512,0.9,0.830365603410826,0.638538871669772,1.14795314255008,0.676475329340305
"56",2,512,0.9,0.830365603410826,0.779401753220389,1.39935819726387,0.72411834131669
"57",2,512,0.9,0.830365603410826,0.722994629553384,1.13985184577566,0.705922652153281
"58",2,512,0.9,0.830365603410826,0.755987250052156,1.1141086292074,0.69490647787637
"59",2,512,0.9,0.830365603410826,0.638121523808341,1.12318685088393,0.631302207249594
"60",2,512,0.9,0.830365603410826,0.634959961301993,1.41250655116961,0.627537188232492
"61",2,512,0.9,0.830365603410826,0.641557037722246,1.12581782181898,0.656039013120368
"62",2,512,0.9,0.830365603410826,0.71725776278145,1.12479931439932,0.699000229975537
"63",2,512,0.9,0.830365603410826,0.697490041110858,1.12570576284001,0.665480231822203
"64",2,512,0.9,0.830365603410826,0.656687325219647,1.38459667000092,0.652350126881269
"65",2,512,0.9,0.830365603410826,0.702273360060015,1.12344970830072,0.713705638642777
"66",2,512,0.9,0.830365603410826,0.732554890686949,1.36098920289984,0.692755364670632
"67",2,512,0.9,0.830365603410826,0.750970686223314,1.13035430554779,0.733771422204688
"68",2,512,0.9,0.830365603410826,0.707474827613839,1.3931971156902,0.727345231827803
"69",2,512,0.9,0.830365603410826,0.676441468791559,1.43952621192127,0.70146163701414
"70",2,512,0.9,0.830365603410826,0.701507823623519,1.40030528644749,0.694563739131308
"71",2,512,0.9,0.830365603410826,0.711481454745683,1.4082078945839,0.727759558277857
"72",2,512,0.9,0.830365603410826,0.642641292496274,1.10873811689765,0.645759348718655
"73",2,512,0.9,0.830365603410826,0.582260109580802,0.901336799925726,0.609728949939138
"74",2,512,0.9,0.830365603410826,0.609211502431591,1.16935854435435,0.676306062079151
"75",2,512,0.9,0.830365603410826,0.7303558976793,1.12581320898851,0.699682481869137
"76",2,512,0.9,0.830365603410826,0.630406164549314,1.11094974392029,0.621738938091846
"77",2,512,0.9,0.830365603410826,0.643291071814043,1.1337290709656,0.669293413707124
"78",2,512,0.9,0.830365603410826,0.641890925740719,1.08716543841484,0.64647204449446
"79",2,512,0.9,0.830365603410826,0.666933073132836,1.39370538282508,0.726772055117042
"80",2,512,0.9,0.830365603410826,0.75329929136073,1.43097192445872,0.767060582003502
"81",2,512,0.9,0.830365603410826,0.670005024000953,1.12769328995451,0.705187617300969
"82",2,512,0.9,0.830365603410826,0.66711165876688,1.13531309968876,0.669022351542675
"83",2,512,0.9,0.830365603410826,0.677469269931604,1.37532527910478,0.700666401105228
"84",2,512,0.9,0.830365603410826,0.666453018944896,1.14325966525479,0.693229185580879
"85",2,512,0.9,0.830365603410826,0.757058550594691,1.14075889776056,0.688915615446055
"86",2,512,0.9,0.830365603410826,0.622007797550401,1.3759392261317,0.636057788302413
"87",2,512,0.9,0.830365603410826,0.669414576041198,1.14730176902928,0.682196986015352
"88",2,512,0.9,0.830365603410826,0.585619909874735,1.1060350514708,0.615300025924541
"89",2,512,0.9,0.830365603410826,0.689665829665471,1.39047993318339,0.697167279328362
"90",2,512,0.9,0.830365603410826,0.658214876952456,1.12311219862882,0.672058415126999
"91",2,512,0.9,0.830365603410826,0.738352407777638,1.13356882334833,0.70843817425063
"92",2,512,0.9,0.830365603410826,0.589386082833977,1.36927630740395,0.637994989283859
"93",2,512,0.9,0.830365603410826,0.746765749234773,1.42846803092028,0.737955436257248
"94",2,512,0.9,0.830365603410826,0.632713272073855,1.11813864397435,0.646735703398021
"95",2,512,0.9,0.830365603410826,0.613797350724939,1.38136193662735,0.635089240994877
"96",2,512,0.9,0.830365603410826,0.711677042494009,1.41245189394447,0.747530943968144
"97",2,512,0.9,0.830365603410826,0.730347787850598,1.14640527188242,0.727543567305494
"98",2,512,0.9,0.830365603410826,0.710447092004618,1.13779587980396,0.726365590737217
