"","pat","n","rho","true","fmi","jmi","emi"
"1",3,256,0,0,0.00885273207136072,0.00514583249386646,-0.0242034197332841
"2",3,256,0,0,0.0214119212050125,0.0440000071678013,-0.0253168410203687
"3",3,256,0,0,0.0638652924554153,0.00183950772660796,0.00874919811796946
"4",3,256,0,0,0.0623707110343524,0.00232626312446311,-0.0105832973692784
"5",3,256,0,0,0.0369361499241743,0.0116781287545517,-0.00249063481717096
"6",3,256,0,0,0.048821786502029,0.056139092884245,-0.022035008508214
"7",3,256,0,0,0.0654340724634527,0.143966949443416,0.0110367322105782
"8",3,256,0,0,0.0729049300467939,0.103462083999188,0.0252991764702812
"9",3,256,0,0,0.0268615562151121,0.0422197183348682,-0.00734261773610662
"10",3,256,0,0,0.102401320271731,0.0548041260506361,0.00820734647038346
"11",3,256,0,0,0.132146027599131,0.0751942228307015,0.00405847000867256
"12",3,256,0,0,0.0243132661281487,0.00967867085575186,-0.0231763373664095
"13",3,256,0,0,0.0266727663408464,0.00235384764262826,-0.0385542187000839
"14",3,256,0,0,0.00164462912352314,0.0562366709514079,-0.0223192320179286
"15",3,256,0,0,0.053774202102336,0.10065204878338,0.0218103579164708
"16",3,256,0,0,0.0174395471921482,0.00226689489065129,-0.00321622275018353
"17",3,256,0,0,0.0953612815975006,0.00204873510641291,-0.00482728989787239
"18",3,256,0,0,0.00512647644986075,0.0263105824108591,-0.0155180856375593
"19",3,256,0,0,0.015487383221181,0.00479011913256292,-0.0228386590903231
"20",3,256,0,0,0.0303860836439015,0.0794444586032585,-0.0270658001468528
"21",3,256,0,0,0.0229720089028502,0.145379001425769,-0.0167958831099574
"22",3,256,0,0,0.0114402510244269,0.0125872230886346,-0.0394135319487963
"23",3,256,0,0,0.0164736413214538,0.00227032202084323,-0.0445977180364935
"24",3,256,0,0,0.0286893904539471,0.00961276914545157,-0.0174221822175224
"25",3,256,0,0,0.0400407814892885,0.0573004351375614,-0.0216432671188259
"26",3,256,0,0,0.0752015299628469,0.105174662388727,-0.0461768856339128
"27",3,256,0,0,0.0370067643063796,0.0574099679956003,-0.0240347472141564
